"LOCH LEE (INVERMARK)",,,,,,,,,,,,
Grid ref,NO431803,Long,-2.936029,Lat,56.910518,,,,,,,
Station no,5611/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.82,3.00,2.42,4.78,5.68,5.42,4.04,6.04,,
February,,,1.94,6.04,6.34,2.01,5.36,3.57,0.38,5.59,,
March,,,0.40,5.39,3.22,3.84,3.33,7.44,4.08,3.28,,
April,,,3.37,1.29,0.83,1.65,1.57,2.59,3.75,5.21,,
May,,4.35,2.71,6.62,3.55,0.95,2.87,4.24,1.57,2.24,,
June,,3.54,4.10,1.65,1.77,4.42,2.27,2.86,2.80,2.04,,
July,,1.96,4.61,2.59,0.84,5.20,6.75,5.24,4.44,4.60,,
August,,3.22,1.90,2.54,1.02,7.54,4.93,4.12,2.01,4.97,,
September,,1.80,4.37,3.03,2.23,4.35,3.07,5.20,0.67,4.83,,
October,,7.18,3.36,7.48,3.18,3.62,2.31,3.71,6.16,12.70,,
November,,2.74,-999.00,12.71,3.64,1.71,1.47,1.14,9.61,7.23,,
December,,3.55,4.37,5.26,8.24,9.97,6.41,6.47,12.56,3.82,,
Total,,,35.91,57.60,37.28,50.04,46.02,52.00,52.07,62.55,,
Calc annual,0.00,28.34,31.95,57.60,37.28,50.04,46.02,52.00,52.07,62.55,,
Difference,NaN,NaN,3.96,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
