LOCH LEE (INVERMARK),,,,,,,,,,
Grid ref,NO431803,Long,-2.936029,Lat,56.910518,Elevation,895,ft,,
Station no,5611/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.82,3,2.42,4.78,5.68,5.42,4.04,6.04
February,,,1.94,6.04,6.34,2.01,5.36,3.57,0.38,5.59
March,,,0.4,5.39,3.22,3.84,3.33,7.44,4.08,3.28
April,,,3.37,1.29,0.83,1.65,1.57,2.59,3.75,5.21
May,,4.35,2.71,6.62,3.55,0.95,2.87,4.24,1.57,2.24
June,,3.54,4.1,1.65,1.77,4.42,2.27,2.86,2.8,2.04
July,,1.96,4.61,2.59,0.84,5.2,6.75,5.24,4.44,4.6
August,,3.22,1.9,2.54,1.02,7.54,4.93,4.12,2.01,4.97
September,,1.8,4.37,3.03,2.23,4.35,3.07,5.2,0.67,4.83
October,,7.18,3.36,7.48,3.18,3.62,2.31,3.71,6.16,12.7
November,,2.74,3.96,12.71,3.64,1.71,1.47,1.14,9.61,7.23
December,,3.55,4.37,5.26,8.24,9.97,6.41,6.47,12.56,3.82
Total,,,35.91,57.6,37.28,50.04,46.02,52,52.07,62.55
,,,,,,,,,,
Station no,5611/7,,,,,,,,,
Midas,15006,,,,,,,,,
Hyd Stn,852058,,,,,,,,,
