Rainfall at,HAMILTON WATER WORKS (TOWNHILL)
,
Station no,5199,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.30,8.10,3.60,4.10,4.35,5.40,4.80,5.50,11.35,1.20,6.97,
February,5.55,0.45,3.15,3.90,0.55,4.15,3.65,1.85,4.78,2.08,0.30,
March,3.80,6.00,2.40,1.90,0.95,1.75,2.45,2.80,1.90,0.70,3.00,
April,1.85,1.10,1.70,3.65,1.80,5.30,2.30,2.30,1.63,1.98,1.46,
May,4.40,2.15,2.45,1.85,5.25,7.85,3.05,1.90,1.78,3.18,2.29,
June,1.10,0.55,1.50,1.20,1.90,0.40,1.85,3.82,5.01,2.39,2.79,
July,3.25,3.10,3.00,3.55,3.00,1.55,3.15,3.87,2.80,3.37,3.04,
August,6.25,6.25,2.25,5.80,2.85,3.40,2.55,6.79,3.87,5.38,5.47,
September,1.90,2.65,2.00,4.95,4.40,3.65,2.65,7.10,3.91,1.38,3.84,
October,1.20,4.60,1.90,5.65,3.20,2.80,4.70,5.02,6.90,5.66,5.54,
November,3.85,1.90,2.25,4.30,2.40,0.65,5.05,4.17,4.88,7.45,5.60,
December,3.10,7.00,4.45,3.20,6.75,3.50,1.15,0.51,4.89,9.46,3.07,
Total,41.55,43.85,30.65,44.05,37.40,40.40,37.35,45.63,53.70,44.23,43.37,
Calc annual,41.55,43.85,30.65,44.05,37.40,40.40,37.35,45.63,53.70,44.23,43.37,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
