HAMILTON WATER WORKS (TOWNHILL),,,,,,,,,,,,
Grid ref,NS694546,Long,-4.083201,Lat,55.767057,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.00,1.95,3.15,6.85,4.30,1.90,5.20,2.45,5.10,5.90,,
February,2.10,1.30,1.05,7.10,2.30,2.60,2.85,3.15,2.50,2.30,,
March,0.30,2.65,2.60,10.40,1.70,4.00,3.20,3.90,4.30,1.80,,
April,1.85,3.20,0.75,1.15,5.00,2.15,1.25,1.70,1.65,2.60,,
May,2.15,1.85,2.30,2.05,2.70,1.25,4.60,4.90,2.45,2.20,,
June,4.00,2.60,1.70,1.85,1.40,0.65,1.20,3.15,2.30,2.25,,
July,2.55,1.60,2.45,3.20,2.15,2.70,1.90,2.85,2.60,3.50,,
August,4.15,3.65,1.65,5.60,3.80,2.95,6.00,4.20,3.05,2.20,,
September,3.50,2.85,3.00,3.15,2.60,2.50,1.60,0.85,4.15,2.10,,
October,5.65,4.25,1.95,6.20,1.60,2.10,6.10,6.90,1.15,7.00,,
November,5.35,2.95,1.50,2.65,2.00,3.00,4.30,2.10,3.55,2.25,,
December,8.30,3.85,4.60,2.80,3.65,3.40,3.90,5.20,2.70,4.95,,
Total,44.90,32.70,26.70,53.00,33.20,29.20,42.10,41.35,35.50,39.05,,
Calc annual,44.90,32.70,26.70,53.00,33.20,29.20,42.10,41.35,35.50,39.05,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
