HOLLINSCLOUGH-SCHOOL,,,,,,,,,,
Grid ref,SK065665,Long,-1.904164,Lat,53.195544,Elevation,954,ft.,,
Station no,2376/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.18
February,,,,,,,,,,3.47
March,,,,,,,,,,1.71
April,,,,,,,,,,2.7
May,,,,,,,,,,1.83
June,,,,,,,,,,2.82
July,,,,,,,,,,6.67
August,,,,,,,,,,5.3
September,,,,,,,,,,5.06
October,,,,,,,,,3.9,6.88
November,,,,,,,,,5.49,6.32
December,,,,,,,,,7.75,4.89
Total,,,,,,,,,,53.83
,,,,,,,,,,
MIDAS src_id 3140 HOLLINSCLOUGH Start 1959 end 1998,,,,,,,,,,
NGR is from the 1950s record and is a school in Hollinsclough. Altitudes match,,,,,,,,,,
