TROON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS315307,Long,-4.6719692,Lat,55.540829,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,3.77,3.61,4.7,3.16,3.96,1.86,4,3.79,4.84,2.74,2.72,0.64,5.42,3.44,3.47,3.5,3.41,2.22,,,
February,,,,,,,,,,,0.09,3.3,0.01,2.54,0.52,4.4,1.42,4.34,1.23,3.71,1.29,1.12,1.57,3.06,1.29,5.03,2.25,,,,
March,,,,,,,,,,,2.23,0.87,2.27,2.35,2.55,1.49,1.36,0.75,2.77,2.55,4.19,2.3,1.97,1.86,0.41,2.02,1.38,,,,
April,,,,,,,,,,,1.96,1.23,2.64,1.74,2.45,2.59,0.84,1.48,0.35,1.44,1.9,1.16,1.54,2.52,2.31,1.73,1.01,,,,
May,,,,,,,,,,,1.23,2.4,2.87,1.98,3.03,0.51,2.37,1.08,3.15,0.87,1.05,2.29,2.23,3.29,2.21,3.89,0.52,,,,
June,,,,,,,,,,,2.94,4.86,1.31,1.67,2.33,3.65,2.05,2.87,3.48,1.76,0.71,1.15,1.87,2.84,3.15,3.37,2.02,3.69,,,
July,,,,,,,,,,,1.97,4.95,2.81,3.08,1.02,0.93,6.35,4.54,3.83,6.96,3.02,3.18,2.7,2.2,2.66,3.36,2.07,,,,
August,,,,,,,,,,,4.74,1.53,1.83,2.12,2.92,1.13,3.83,2.5,2,3.24,1.87,3.4,4.68,4.74,3.14,1.22,0.91,0.25,,,
September,,,,,,,,,,,2.98,1.02,4.66,1.1,4.66,4.86,3.4,1.91,3.09,2,4.43,1.61,4.42,1.92,4.69,2.86,,3.74,,,
October,,,,,,,,,,,6,2.92,4.69,2.36,6.17,8.06,4.31,3.07,7.12,1.61,3.57,3.44,4.17,5.56,4.26,4.19,0.96,,,,
November,,,,,,,,,,,5.01,6.18,3.1,1.72,0.77,4.38,3.76,0.57,4.43,6.85,4.25,1.75,0.36,2.46,4.99,0.24,,,,,
December,,,,,,,,,,,3.57,3.3,6.24,1.09,4.76,2.91,4.67,2.17,1.66,2.42,4.39,1.76,3.36,1.95,3.99,1.96,2.7,,,,
Total,,,,,,,,,,,36.49,36.17,37.13,24.91,35.14,36.77,38.36,29.07,37.95,36.15,33.39,23.8,34.29,35.84,36.57,33.37,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946 Sept, Nov, total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb, Mar, May estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
