"BALLYCASTLE (COOLGREANY)",,,,,,,,,,,,
Grid ref,ID114406,Long,-6.251000,Lat,55.200135,,,,,,,
Station no, RR4184,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.47,5.89,1.70,5.61,3.94,3.87,4.89,5.35,2.57,-999.00,,
February,3.98,1.73,1.82,3.83,2.08,1.39,2.70,4.97,1.14,5.83,,
March,3.27,1.07,0.65,2.46,1.30,2.21,2.74,1.45,2.62,1.85,,
April,2.27,1.51,2.44,1.22,2.24,0.98,1.65,1.84,3.31,2.67,,
May,1.55,1.12,2.93,3.07,3.56,1.74,2.00,2.75,1.46,2.22,,
June,3.78,2.98,3.05,3.12,3.78,2.66,1.49,4.25,1.68,2.10,,
July,3.79,3.37,5.16,4.00,0.73,4.16,4.10,5.34,4.17,6.12,,
August,2.84,8.74,3.40,3.64,0.78,5.47,3.84,3.66,1.16,5.20,,
September,3.29,3.85,4.62,5.46,4.58,2.96,5.25,3.50,1.19,2.86,,
October,1.25,3.60,1.77,6.05,3.65,3.53,4.11,3.64,4.52,6.33,,
November,9.18,3.47,3.81,7.08,2.03,2.89,1.56,2.33,4.34,4.55,,
December,6.65,5.06,4.01,6.67,4.93,5.50,4.45,5.43,6.64,4.44,,
Total,45.32,42.39,35.36,52.21,33.60,37.36,38.78,44.51,34.80,48.25,,
Calc annual,45.32,42.39,35.36,52.21,33.60,37.36,38.78,44.51,34.80,44.17,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,4.08,,
