BROMLEY-FREELAND-ROAD,,,,,,,,,,
Grid ref,TQ409696,Long,0.02464,Lat,51.40837,Elevation,230,ft,,
Station no,RR4135,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.97,1.2,2.93,
February,,,,,,,3.91,0.78,0.86,
March,,,,,,,4.88,1.17,0.92,
April,,,,,,,1.52,2.4,3.59,
May,,,,,,,2.09,1.93,3.87,
June,,,,,,,3.05,2.37,0.82,
July,,,,,,,1,6.63,,
August,,,,,,,2.82,4.23,,
September,,,,,,,3.42,1.5,,
October,,,,,,,3.61,2.65,,
November,,,,,,,4.25,1.45,,
December,,,,,,,2.34,1.52,,
Total,,,,,,,33.86,27.83,,
,,,,,,,,,,
,,,,,,,,,,
