"BROMLEY-FREELAND-ROAD (ROSEFIELD, WIDMORE ROAD)",,,,,,,,,,,,,,,,,,,,
Grid ref,TQ409694,Long,0.02568,Lat,51.40696,Elevation,230,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,-999,1.6,,2.23,1.07,3.02,3.29,0.56,,,,,
February,,,,,,,,-999,1.06,,3.37,1.01,1.69,0.55,3.22,,,,,
March,,,,,,,,0.86,2.32,,1.29,1.71,2.94,2.8,3.96,,,,,
April,,,,,,,,,2.44,,1.71,1.91,0.03,2.36,0.84,,,,,
May,,,,,,,,,1.53,,2.34,0.68,1.21,0.82,1.69,,,,,
June,,,,,,,,3.6,2.16,,2.23,2.23,2.18,0.32,1.44,,,,,
July,,,,,,,,,3.5,,2.08,0.43,1.02,1.54,2.1,,,,,
August,,,,,,,,,3.04,,2.19,1.01,-999,-999,1.84,,,,,
September,,,,,,,,,1.74,,1.12,1.14,-999,-999,0.79,,,,,
October,,,,,,,,,2.11,,2.64,2.95,2.31,3.59,1.46,,,,,
November,,,,,,,,,0.71,,2.31,3.9,2.14,1.95,3.31,,,,,
December,,,,,,,,,2.31,,4.55,4.87,2.87,1.01,6.89,,,,,
Total,,,,,,,,,24.52,,28.06,22.91,29.12,21.7,28.1,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1907 Jan Feb -999 (value=2.76),,,,,,,,,,,,,,,,,,,,
1912 Aug Sep -999 (value=9.71),,,,,,,,,,,,,,,,,,,,
1913 Aug Sep -999 (value=3.47),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elev corrected from OS map,,,,,,,,,,,,,,,,,,,,
