LEWES-CASTLE-PLACE,,,,,,,,,,
Grid ref,TQ413100,Long,0.006837119,Lat,50.872237,Elevation,100,ft,,
Station no,RR7797,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3,3.67,2.11,5.42,2.66,1.11,
February,,,,3.76,1.6,4.53,0.47,0.92,1.7,
March,,,,0.98,2.23,2.32,2.14,1.31,4.05,
April,,,,1.44,1.3,1.09,1.88,1.61,1.31,
May,,,,1.57,0.26,3.38,4.58,1.35,1.44,
June,,,,1.09,1.99,1.65,0.7,1.53,3.47,
July,,,,1.88,1.6,0.47,2.89,0.41,4.84,
August,,,,1.42,1.24,0.54,1.73,2.87,1.67,
September,,,,3.62,4.13,4.5,0.89,3.79,0.89,
October,,,,2.6,1.26,5.18,4.62,1.22,2.9,
November,,,,4.87,0.82,3.74,4.6,5.24,4.21,
December,,,,1.56,5.48,1.52,5.74,2.37,2.05,
Total,,,,27.79,25.58,31.03,35.66,25.28,29.64,
