"FRISTON",,,,,,,,,,,,
Grid ref,TV545986,Long,0.189503,Lat,50.766422,,,,,,,
Station no,531,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.27,3.06,1.26,1.55,4.97,6.29,1.93,4.27,4.37,3.30,,
February,6.74,1.21,1.61,3.06,2.13,0.42,4.59,3.31,0.03,2.70,,
March,4.45,3.60,0.26,3.93,1.04,0.54,1.68,2.17,1.82,3.69,,
April,1.97,1.66,2.35,0.79,0.47,1.60,0.33,1.21,2.34,1.20,,
May,2.34,1.55,1.58,1.86,4.06,0.46,0.92,2.97,0.46,2.45,,
June,1.30,0.84,1.56,2.13,2.08,2.38,0.58,3.79,1.29,2.16,,
July,1.80,1.09,3.20,4.94,0.78,2.77,5.01,2.39,1.66,2.58,,
August,6.32,3.39,2.13,4.05,2.16,4.69,2.08,4.63,1.08,5.99,,
September,4.37,3.74,3.23,3.94,2.61,3.43,4.68,4.09,0.25,3.46,,
October,3.59,3.87,3.24,3.07,4.74,1.27,1.87,4.40,4.49,7.84,,
November,5.19,5.56,2.14,5.76,1.26,1.27,2.74,2.69,5.08,7.74,,
December,2.91,4.40,1.06,2.63,4.86,4.24,1.95,4.24,7.76,5.60,,
Total,45.25,33.97,23.62,37.71,31.16,29.36,28.36,40.16,30.63,48.71,,
Calc annual,45.25,33.97,23.62,37.71,31.16,29.36,28.36,40.16,30.63,48.71,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
