"CHRISTCHURCH SOUTHBOURNE ON SEA",,,,,,,,,,,,
Grid ref,SZ137913,Long,-1.807290,Lat,50.721166,,,,,,,
Station no,RR2420,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.95,2.29,4.74,,,,,,,
February,,,1.57,1.77,3.90,,,,,,,
March,,,2.48,2.92,1.43,,,,,,,
April,,,1.38,2.84,1.06,,,,,,,
May,,,2.27,2.26,2.83,,,,,,,
June,,,2.58,2.04,0.96,,,,,,,
July,,,1.74,3.11,2.23,,,,,,,
August,,,4.29,3.49,3.10,,,,,,,
September,,3.05,1.75,2.16,2.85,,,,,,,
October,,2.62,2.09,8.84,2.51,,,,,,,
November,,0.59,3.09,1.62,1.24,,,,,,,
December,,4.01,1.69,3.17,3.98,,,,,,,
Total,,,25.88,36.51,30.83,,,,,,,
Calc annual,0.00,10.27,25.88,36.51,30.83,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
