BOURNEMOUTH-MIX (OBS FALLS) ,,,,,,,,,,
Grid ref ,SZ085916 ,Long ,-1.8806,Lat ,50.7248,Elevation ,70,ft ,,
Station no ,RR2420 ,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January ,,,2.59,3.16,2.06,4.82,4.46,,,
February ,,,0.32,0.96,1.21,2.56,3.87,,,
March ,,,4.76,1.24,2.8,1.12,1.72,,,
April ,,,1.29,0.85,1.85,0.88,2.55,,,
May ,,,3.87,1.46,1.18,2.63,1.13,,,
June ,,,1.22,4.96,1.55,2.14,1.6,,,
July ,,,1.63,0.72,0.2,1.63,1.1,,,
August ,,,2.24,2.75,0.96,2.48,2.6,,,
September ,,,1.47,3.86,2.34,0.4,7,,,
October ,,,5.18,4.7,1.61,8.16,1.82,,,
November ,,,0.92,2.98,3.76,3.46,1.83,,,
December ,,,2.5,2.46,2.11,3.12,1.6,0.9,,
Total ,,,27.99,30.1,21.63,33.4,31.28,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Dr Falls lived at Marden Ash, Bournemouth, exact location not found ",,,,,,,,,,
Elevation estimated from map,,,,,,,,,,
