MEMBURY-GREEN-DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST279020,Long,-3.0247,Lat,50.81308,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.93,1.64,1.15,4.9,6.71,6.17,3.15,6.79,2.16,5.07,4.61,6.78,4.97,7.59,2.1,8.02,3.58,4.58,3.89,,,,,,,
February,,,,,,7.24,6.23,1.16,2.14,3.54,0.73,0.33,4.64,9,0.89,5.76,3.2,4.85,3.41,1.85,1.42,2.79,0.06,5.42,,,,,,,
March,,,,,,0.64,4.23,3.22,1.56,5.54,3.59,2.01,3.69,1.96,1.97,0.27,0.46,4.94,3.33,0.35,2.45,1.35,3.01,4.81,,,,,,,
April,,,,,,0.98,0.83,1.62,2.42,2.55,5.07,0.78,4,2.89,4.21,3.03,2.68,1.94,1.79,1.07,4.17,2.76,3.08,2.41,,,,,,,
May,,,,,,1.92,2.16,2.04,1.11,1.33,2.23,2.42,1.11,1.02,5.72,4.75,1.76,0.93,2.3,2.54,1.94,3.69,4.66,2.33,,,,,,,
June,,,,,,1.05,2.5,2.6,1.21,0.56,2.79,1.14,0.65,0.57,3.18,0,3.67,2.72,2.47,1.9,0.19,4.3,3.56,1.92,,,,,,,
July,,,,,,4.82,1.22,3.73,5.27,1.85,5.15,0.6,4.9,1.08,5.02,2.39,3.47,3.93,1.63,1.28,2.76,4.75,2.97,2.96,,,,,,,
August,,,,,,2.76,5.72,7.19,2.64,3.81,2.21,2.26,4.29,2.69,3.21,2.72,1.75,3.88,2.22,2.84,4.45,4.01,1.68,2.08,,,,,,,
September,,,,,,1.25,2.23,2.21,7.61,2.52,1.95,0.73,2.42,3.35,6.13,4.38,0.77,6.86,1.56,0.56,7.23,1.89,5.88,1.73,,,,,,,
October,,,,,,6,7,4.68,2.35,2.32,2.93,1.13,1.72,6.39,6.77,5.28,3.82,3.01,8.83,5.92,4.01,0.3,7.26,2.8,,,,,,,
November,,,,,,3.51,5.49,1.2,3.93,2.64,2.44,4.34,2.75,3.05,4.21,3.45,10.68,4.13,5.08,14.26,6.98,7.04,3.44,1.18,,,,,,,
December,,,,,,8.61,4.2,0.9,4.62,7.4,5.12,1.96,5.82,4.75,6.15,5.67,0.43,5.2,3.94,9.03,4.74,1.7,4.27,1.3,,,,,,,
Total,,,,,,42.71,43.45,31.7,39.76,40.77,40.38,20.85,42.78,38.91,52.53,42.31,39.47,47.36,44.15,43.7,48.36,38.16,44.45,32.83,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Dec Adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Jan 3 Observer died 17/12/33 Daughter sent in 1933 return but is unable to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
