"THORNTONHALL",,,,,,,,,,,,
Grid ref,NS590555,Long,-4.249293,Lat,55.772217,,,,,,,
Station no,5202,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.80,2.10,5.82,2.87,2.70,6.30,5.37,1.64,4.00,,
February,,1.38,1.80,4.17,3.19,1.47,3.47,3.26,2.07,4.74,,
March,,3.21,1.03,3.35,2.19,2.25,4.20,1.56,2.52,1.58,,
April,,2.39,1.97,1.59,2.02,1.17,2.53,1.59,3.00,3.59,,
May,,1.73,2.87,3.70,3.75,2.61,2.35,2.99,1.71,2.24,,
June,,2.98,1.33,2.95,1.63,3.46,2.50,3.88,3.50,2.14,,
July,,2.26,5.57,3.19,1.79,4.31,4.47,4.82,4.76,2.96,,
August,,4.01,2.84,5.25,1.52,4.83,4.37,4.49,0.77,2.86,,
September,,3.34,3.90,5.87,4.28,5.60,3.08,3.93,0.91,3.29,,
October,,4.28,2.54,9.80,2.68,3.89,4.75,3.78,5.64,3.21,,
November,,2.57,7.84,6.94,1.81,1.45,1.93,1.84,5.30,5.90,,
December,,4.13,5.41,7.17,7.20,6.13,4.86,5.85,7.67,6.73,,
Total,,37.08,39.20,59.80,34.93,39.87,44.81,43.36,39.49,43.24,,
Calc annual,0.00,37.08,39.20,59.80,34.93,39.87,44.81,43.36,39.49,43.24,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
