"BRIGHTON KEMP TOWN",,,,,,,,,,,,
Grid ref,TQ3273603676,Long,-0.117095,Lat,50.817427,,,,,,,
Station no,RR4844,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.95,0.63,,,,,,,,,,
February,4.54,1.40,,,,,,,,,,
March,0.42,1.50,,,,,,,,,,
April,0.53,1.73,,,,,,,,,,
May,0.37,0.51,,,,,,,,,,
June,2.50,0.70,,,,,,,,,,
July,1.64,1.83,,,,,,,,,,
August,1.69,0.90,,,,,,,,,,
September,0.55,0.53,,,,,,,,,,
October,2.64,2.47,,,,,,,,,,
November,3.23,0.43,,,,,,,,,,
December,3.21,3.28,,,,,,,,,,
Total,24.27,15.91,,,,,,,,,,
Calc annual,24.27,15.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
