BUCKHURST-HILL-QUEENS-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ414938,Long,0.041336392,Lat,51.625259,Elevation,190,ft,,,,,,,,,,,,
Station no,1263/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.49,1.14,3.78,3.29,2.69,5.32,2,2.28,1.85,4.47,1.54,1.7,,,,,
February,,,,0.08,2.06,1.73,4.17,0.71,0.73,1.32,2.47,0.8,1.19,0.78,1.57,,,,,
March,,,,2.01,0.47,1.03,2.3,0.42,1.75,3.12,2.75,2.32,0.37,0.2,0.66,,,,,
April,,,,2.21,3,1.51,2.93,0.06,1.86,1.62,1.65,1.15,1.19,1.43,0.76,,,,,
May,,,,0.64,1.16,0.54,2.86,1.58,2.1,2.27,2.14,2.49,1.57,0.34,3,,,,,
June,,,,1.31,3.49,3.96,2,0.5,1.02,0.58,1.12,0.16,1.44,2.03,2.13,,,,,
July,,,,0.92,0.9,2.7,2.03,1.8,2.82,3.07,4.14,1.62,1.57,1.66,3.05,,,,,
August,,,,1.97,1.61,0.51,1.74,1.54,2.74,0,4.12,2.63,1.66,2.42,1.39,,,,,
September,,,,1.54,3.41,2.75,1.69,3.27,1.13,0.8,1.29,1.25,1.66,3.3,1.25,,,,,
October,,,,0.97,2.13,1.07,2.01,2.64,4.94,2.25,0.33,4.34,1.78,2.93,2,,,,,
November,,,,2.14,3.81,4.05,1.49,3.02,4.55,5.8,2.2,2.08,1.77,3.77,0.3,,,,,
December,,,,4.81,2.5,1.68,3.44,2.99,1.05,1.25,1.8,2.42,1.41,1.17,2.3,,,,,
Total,,,,20.09,25.68,25.31,29.95,21.22,30.01,24.08,26.29,23.11,20.08,21.57,20.11,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
1940 Aug (dash=zero),,,,,,,,,,,,,,,,,,,,
1943 Total corrected,,,,,,,,,,,,,,,,,,,,
