BURNLEY ROSEGROVE CEMETERY,,,,,,,,,,,,,,,,,,,,
Grid ref,SD812315,Long,-2.2856712,Lat,53.780357,Elevation,493,ft,,,,,,,,,,,,
Station no,RR4269,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,5,1.68,8.08,3.83,1.17,0.35,0.42,3.78,6.04,5.85,,,,,
February,,,,,,1.07,5.11,4.17,1.61,3.41,4.05,5.37,2.79,4.49,3.77,,,,,
March,,,,,,0.97,4.09,3.85,2.1,2.07,3.1,4.8,3.71,1.48,3.47,,,,,
April,,,,,,1.72,2.56,2.71,1.75,1.81,1.91,1.48,5.27,2.33,1.42,,,,,
May,,,,,,2.7,0.54,3.38,4.78,1.86,2.6,3.25,1.93,0.56,1.35,,,,,
June,,,,,,3.86,4.25,2.4,3.11,6.37,3.54,2.2,6.13,4.09,0.74,,,,,
July,,,,,,5.73,3.77,4.59,1.27,5.74,4.44,4.27,6.7,3.84,5.09,,,,,
August,,,,,,2.37,4.4,6.94,5.84,5.86,2.16,5.27,4.06,2.85,2.64,,,,,
September,,,,,,5.18,3.98,4.33,4.81,2.92,4.22,1.31,2.12,5.48,2.61,,,,,
October,,,,,,4.49,2.47,5.57,5.22,2.57,3.51,2.38,4,4.8,2.67,,,,,
November,,,,,,4.5,3.35,6.38,3.45,1.23,6.13,4.82,7.3,4.14,1.71,,,,,
December,,,,,,1.96,5.8,5.08,2.64,3.28,6.4,5.43,4.54,2.84,5.56,,,,,
Total,,,,,,39.55,42,57.48,40.41,38.29,42.41,41,52.33,42.94,36.88,,,,,
,,,,,,,,,,,,,,,,,,,,
"No indication for locationother than elevation on records so NGR for Church of England mortuary in centre of the cemetery, elevation ok",,,,,,,,,,,,,,,,,,,,
