PETWORTH-LODSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU926229,Long,-0.681784,Lat,50.998053,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.13,1.39,1.16,3.07,5.72,1.43,6.15,1.19,1.46,0.88,3.15,1.47,3.34,4.98,0.55,4.66,1.4,1.04,3.59,5.78,2.64,3.73,,,,,,,,,
February,6.26,2.03,1.68,1.85,4.01,0.87,2.92,1.33,1.05,0.39,4.21,1.78,3.16,1.29,5.16,5.77,4.37,1.07,1.49,2.76,0.51,0.29,,,,,,,,,
March,0.7,2.24,2.27,3.52,0.99,4.64,1.44,1.2,3.09,4.13,1.59,2.61,3.72,3.32,5.44,0.51,3.56,1.86,1.22,4.9,1.91,1.25,,,,,,,,,
April,0.89,2.37,1.97,2.02,1.19,1.16,0.8,3.88,2.49,1.2,2.32,1.3,0,2.78,1.44,1.3,0.75,1.42,1.95,3.23,3.59,0.61,,,,,,,,,
May,2.09,0.87,2.24,2.28,2.97,1.47,1.5,2.66,1.99,2.04,1.83,1.3,0.93,2.65,5.26,2.52,2.19,0.96,1.44,0.42,0.93,1.48,,,,,,,,,
June,3.18,2.47,2.97,3.47,0.63,3.77,1.42,1.82,1.82,2.5,1.66,1.46,3.23,0.37,0.58,1.29,2.05,3.45,1.13,0.7,1.61,0.08,,,,,,,,,
July,0.83,1.56,1.24,2.68,1.03,0.26,0.54,1.32,2.19,2.15,2.87,0.55,2.51,2.24,2.11,2.31,0.81,2.64,3.63,1.57,5.42,0.2,,,,,,,,,
August,2.31,1.55,3.86,5.81,2.17,2.27,1.29,1.63,4.27,2.39,2.36,1.39,6.19,1.93,1.67,1.76,2.91,5.53,1.16,2.51,1.41,2.35,,,,,,,,,
September,0.99,2.3,0.76,4.26,1.64,2.04,0.83,0.63,2.11,3.23,0.22,1.25,3.65,2.69,1.22,2.18,2.39,1.59,6.52,0.66,2.28,0.69,,,,,,,,,
October,2.09,3.11,2.76,8.64,1.84,1.49,4.38,6.92,2.46,6.34,3.11,5.03,3.42,4.3,2.27,3.52,5.23,3.73,1.16,0.41,3.24,0.49,,,,,,,,,
November,2.91,0.54,3.51,1.61,1.17,4.6,5.07,3.76,1.02,0.64,4.38,4.82,2.03,3.34,4.06,2.95,5.28,1.15,2.44,1.93,0.88,1.05,,,,,,,,,
December,3.62,5.3,1.58,2.4,3.55,0.53,1.95,2.21,3.61,4.49,5.37,9.37,4.2,1.84,10.07,8.54,2.99,1.51,2.77,3.59,3.1,2.26,,,,,,,,,
Total,30,25.73,26,41.61,26.91,24.53,28.29,28.55,27.56,30.38,33.07,32.33,36.38,31.73,39.83,37.31,33.93,25.95,28.5,28.46,27.52,14.48,,,,,,,,,
