THORNBURY-THORNBURY-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST633904,Long,-2.5313948,Lat,51.611226,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,8.33,1.61,3.42,2.22,0.96,3.1,3.89,4.87,3.35,4.33,1.69,4.86,3.55,4.95,2.78,5.15,0.83,5.09,2.05,2.63,,,,,,,,
February,,,,1.86,4.1,4.21,5.06,1.08,1.47,3.41,1.25,0.29,3.84,6.43,0.24,3.48,1.99,2.89,3.39,1.12,0.49,2.06,0.11,,,,,,,,
March,,,,4.77,5.91,1.3,3.75,2.74,1.77,5.35,2.99,1.74,3.23,1.46,1.56,0.4,0.25,2.98,4.21,0.36,2.27,0.76,1.74,,,,,,,,
April,,,,5.36,2.5,1.08,1.32,1.36,1.77,1.84,4.59,1.2,3.32,2.8,2.91,1.75,2.65,1.69,1.11,0.96,2.78,2.62,2.88,,,,,,,,
May,,,,3.48,1.56,2.84,2.88,2.42,1.8,0.04,2.48,1.52,0.47,1.71,5.25,3.61,1.95,1.29,0,2.24,1.35,3.36,5.27,,,,,,,,
June,,,,1.11,2.39,0.81,2.13,1.93,1.03,0.88,3.42,0.06,0.93,0.63,2.6,0,2.12,2.96,3.27,1.74,1.2,3.41,1.36,,,,,,,,
July,,,,0.73,5.06,4.89,1.76,1.88,7.02,2.79,5.36,0.44,4.41,1.93,5.08,3.27,2.66,5.25,2.29,1.54,4.04,3.91,2.21,,,,,,,,
August,,,,1.39,2.45,1.88,4.53,8.51,1.87,2.94,1.47,2.92,4.06,2.53,5.07,2.63,3.32,4.16,2.45,3.57,2.59,4.56,0.97,,,,,,,,
September,,,,4.14,1.64,1.41,0.96,2.64,9.07,1.6,2.39,2.76,1.81,2.45,4.59,3.74,1.02,5.96,1.17,0.3,3.75,2.72,3.48,,,,,,,,
October,,,,2.29,1.91,3.76,6.32,3.97,1.63,2.97,3.16,1.66,1.2,5.99,5.2,4.12,3.48,2.72,5.98,4.82,2.84,0.63,4.96,,,,,,,,
November,,,,4.01,3.51,1.76,2.52,0.77,1.5,1.46,1.84,2.31,1.62,2.49,2.99,1.61,7.2,2.79,4.22,9.23,3.72,5.25,1.34,,,,,,,,
December,,,,1.84,6.87,6.01,3.69,0.45,2.85,4.76,3.66,2.12,4.97,3.22,4.35,5.3,0.48,3.64,3.45,8.07,3.19,1.81,1.46,,,,,,,,
Total,,,,39.31,39.51,33.37,37.14,28.71,34.88,31.93,37.48,20.37,34.19,33.33,44.7,33.46,32.07,39.11,36.69,34.78,33.31,33.14,28.41,,,,,,,,
