MANATON-HEATHERCOMBE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX716811,Long,-3.81617,Lat,50.61553,Elevation,1300,ft,,,,,,,,,,,,
Station no,1736/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,15.6,12.6,12.28,3.74,7.98,,,,,,,,,
February,,,,,,,12.26,2.86,4.25,8.13,8.56,,,,,,,,,
March,,,,,,,9.47,0.54,2.54,5.63,7.53,,,,,,,,,
April,,,,,,,6.49,0.52,4.72,4.87,1.72,,,,,,,,,
May,,,,,,,3.78,5.04,0.83,2.43,3.66,,,,,,,,,
June,,,,,,,1.98,2.54,5.09,1.23,2.78,,,,,,,,,
July,,,,,,,2.06,5.7,10.3,4.97,1.51,,,,,,,,,
August,,,,,,0.53,1.44,8.71,4.34,0.26,6.57,,,,,,,,,
September,,,,,,4.65,2.67,2.07,0.95,3.04,0.66,,,,,,,,,
October,,,,,,2.83,4.54,9.27,8.8,9.41,4.07,,,,,,,,,
November,,,,,,7.76,4.41,12.75,18.12,16.04,,,,,,,,,,
December,,,,,,11.84,5.18,9.71,4.57,6.39,,,,,,,,,,
Total,,,,,,,69.88,72.31,76.79,66.14,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
On side of a steep hill,,,,,,,,,,,,,,,,,,,,
1940 Feb Part estimated Possibly for snow,,,,,,,,,,,,,,,,,,,,
1941 Station terminated for duration of war,,,,,,,,,,,,,,,,,,,,
