ROTHWELL (LEMONROYD SEW. WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE375282,Long,-1.432825,Lat,53.748829,Elevation,64,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3263/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.17,1.1,2.77,2.87,2.1,4.43,1.97,2.84,2.4,2.93,2.43,2.54,2.1,2.04,5.45,1.01,1.27,1.94,1.86,0.38,2,1.75,3.35,0.96,2.21,2.2,4.77
February,,,,0.48,1.94,2.37,3.81,1.32,1.05,2.42,2.66,0.9,0.65,1.04,2.17,2.77,2.54,1.51,1.02,4.21,2.53,0.51,1.91,2.3,1.77,0.84,2.3,3.92,0.06,1.45
March,,,,1.38,0.59,1.32,2.02,0.24,1.79,1.93,3.14,2.31,0.58,0.25,0.32,1.33,3.99,1.07,0.95,1.53,2.79,1.9,0.57,1.67,2.04,0.56,1.51,1.86,0.97,1.7
April,,,,2.33,2.3,1.39,2.68,0.03,1.19,2.52,1.94,1.02,1.16,1.93,1.49,1.51,2,1.43,2.16,3.67,0.95,1.08,2.13,0.31,0.63,2.16,0.13,0.51,4.26,0.55
May,,,,1.1,0.68,1.74,2.93,2.63,2.05,0.37,1.36,2.43,1.97,1.2,3.18,1.88,2.86,0.89,1.81,1.59,4.57,1.35,2.02,3.73,2.36,0.61,1.06,2.56,0.63,0.89
June,,,,1.34,1.74,4.24,2.25,1.72,1.95,0.91,0.16,0.75,1.22,1.65,2.29,1.73,2.52,2.44,0.54,0.8,0.64,1.99,2.03,1.6,1.55,2.54,2.07,3.69,1.95,0.77
July,,,,1.67,0.39,3.63,2.78,3.28,4.71,3.28,1.82,1.63,1.17,2.13,1.63,2.91,1.38,0.94,2.34,1.56,3.3,1.14,2.16,1.18,0.87,4.87,3.07,4.2,1.2,2.8
August,,,,0.82,1.92,1.97,0.85,3.68,0.96,0.29,2.34,2.52,2.2,3.79,2.01,3.15,0.4,3.23,1.67,3.53,5.93,1.47,2.69,4.83,0.62,5.68,4.39,2.76,0.7,4.44
September,,,,2.2,4.3,1.95,1.43,2.02,1.19,1.62,0.39,1.26,2.62,4.3,1.23,3.79,1.27,1.02,1.27,2.17,2.31,1.81,1.25,2.19,1.4,2.51,3.43,2.91,0.14,3.43
October,,,,1.57,4.44,1.28,2.33,3.07,1.83,3.45,2.62,1.75,1.45,2.31,3.2,1.22,0.84,1.18,2.92,1.27,1.18,3.49,1.54,3.3,1.9,1.01,1.13,1.4,1.69,5.91
November,,,,1.95,4.46,2.84,1.66,2.88,3.23,4.22,2.73,1.11,1.86,4.28,0.19,4.67,1.52,0.86,3.62,3.88,6.21,1.17,2.01,3.8,1.91,0.39,1.88,0.83,3.12,4.25
December,,,,3.65,2.6,0.95,1.85,3.09,1.58,2.19,0.42,1.18,1.15,1.91,1.31,2.29,2.25,1.62,2.68,1.48,2.03,1.77,1.27,2.39,2.66,2.22,2.94,3.26,3.05,2.4
Total,,,,19.66,26.46,26.45,27.46,26.06,25.96,25.17,22.42,19.26,18.96,27.22,21.56,29.35,23.61,21.64,21.99,26.96,34.38,19.54,19.96,29.3,19.46,26.74,24.87,30.11,19.97,33.36
