WOLSINGHAM ST JOHNS,,,,,,,,,,
Grid ref,NZ068339,Long,-1.8945,Lat,54.7003,Elevation,908,ft,,
Station no,RR2307,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,1.21,1.51,3.11,4.62,4.77,
February,,,,,2.28,1.27,3.14,2.3,2.16,
March,,,,,3.05,0.81,2.36,4.91,2.59,
April,,,,,0.78,1.17,3.39,3.47,3.27,
May,,,,,1.26,4.01,0.83,2.16,1.14,
June,,,,,1.19,0.87,3.24,1,0.46,
July,,,,,0.56,2.35,3.93,4.46,0.56,
August,,,,,0.98,3.63,4.06,2.8,3.41,
September,,,,,0.67,0.26,5.33,1.74,6.33,
October,,,,,5.96,8.02,1.47,1.67,2.11,
November,,,,,1.67,3.24,2.37,0.58,3.65,
December,,,,,2.71,1.77,3.67,2.16,6.88,
Total,,,,,22.32,28.91,36.9,31.87,37.33,
,,,,,,,,,,
TYRain_1860-1869_05_pt2-page-015.csv,,,,,,,,,,
