WOLSINGHAM ST JOHNS,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ067338,Long,-1.896,Lat,54.6998,Elevation,928,ft,,,,,,,,,,,,
Station no,RR2307,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.78,5.03,4.44,3.04,1.57,4.41,,,,,,,
February,,,,,,,,2.41,2.31,3.41,2.57,2.53,4.05,,,,,,,
March,,,,,,,,4.94,2.61,1.66,1.57,1.76,3.11,,,,,,,
April,,,,,,,,3.59,3.32,1.79,0.76,3.38,2.85,,,,,,,
May,,,,,,,,2.19,1.14,4.26,1.75,1.53,2.38,,,,,,,
June,,,,,,,,1,0.46,1.68,1.54,3.31,3.25,,,,,,,
July,,,,,,,,4.56,0.56,0.65,0.72,3.32,4.84,,,,,,,
August,,,,,,,,2.77,3.48,1.21,2.17,2.87,3.37,,,,,,,
September,,,,,,,,1.76,6.38,1.97,1.19,6.11,5.56,,,,,,,
October,,,,,,,,1.7,2.1,2.14,6.82,3.02,6.33,,,,,,,
November,,,,,,,,0.58,3.75,3.14,3.06,1.5,3.1,,,,,,,
December,,,,,,,,2.19,7.19,4.52,4.08,2.7,4.42,,,,,,,
Total,,,,,,,,32.47,38.33,30.87,29.27,33.6,47.67,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt2-page-016.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt1-page-024.csv,,,,,,,,,,,,,,,,,,,,
