"BEINN BHREAC",,,,,,,,,,,,
Grid ref,NO058968,Long,-3.554525,Lat,57.052601,,,,,,,
Station no,5633,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,3.80,2.50,3.98,2.36,5.47,5.26,4.36,6.63,5.35,,
February,4.98,3.56,2.50,4.06,7.09,3.46,5.01,4.06,1.26,5.09,,
March,3.07,2.90,0.99,3.10,6.01,3.16,3.01,4.23,2.93,2.02,,
April,4.70,1.90,3.46,1.06,1.38,2.96,1.12,3.07,3.26,5.04,,
May,2.07,4.30,3.10,5.03,2.46,2.01,2.01,4.36,3.34,1.62,,
June,3.01,3.05,10.40,3.34,1.72,4.06,2.06,4.06,3.50,2.50,,
July,3.05,2.91,7.12,3.12,1.01,4.25,5.25,6.11,3.15,3.50,,
August,4.04,3.05,3.20,3.06,1.44,8.26,5.78,4.03,2.10,4.60,,
September,2.01,3.20,4.01,4.04,2.54,5.01,4.10,4.01,0.78,3.30,,
October,1.36,6.03,2.01,6.58,5.51,5.08,4.06,4.04,7.56,8.36,,
November,7.86,4.17,5.01,7.25,3.10,3.26,2.36,1.36,6.29,4.25,,
December,4.75,8.21,5.16,6.85,7.60,8.16,5.37,7.48,6.95,4.48,,
Total,46.10,47.08,49.46,51.47,42.22,55.14,45.39,51.17,47.75,50.11,,
Calc annual,46.10,47.08,49.46,51.47,42.22,55.14,45.39,51.17,47.75,50.11,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
