CARNOUSTIE,,,,,,,,,,
Grid ref,NO558344,Long,-2.718717,Lat,56.50017,Elevation,19,ft,,
Station no,5594,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.77,1.06,4.13
February,,,,,,,,2.74,0.14,2.48
March,,,,,,,,5.02,0.91,1.84
April,,,,,,,,1.8,2.55,2.19
May,,,,,,,,2.49,0.75,1.28
June,,,,,,,,2.12,2.4,2.45
July,,,,,,,,5.65,2.08,1.96
August,,,,,,,,3.08,0.47,3.92
September,,,,,,,,2.68,0.52,2.01
October,,,,,,,,1.46,1.96,5.68
November,,,,,,,,0.97,4.3,3.85
December,,,,,,,,4,4.96,1.81
Total,,,,,,,,33.78,22.1,33.6
