"CARNOUSTIE",,,,,,,,,,,,
Grid ref,NO569344,Long,-2.701711,Lat,56.499692,,,,,,,
Station no,5594,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,1.37,0.61,0.97,0.95,2.83,2.32,1.77,1.06,4.13,,
February,2.52,0.51,0.85,2.18,1.66,1.40,3.26,2.74,0.14,2.48,,
March,2.25,2.64,0.31,2.24,1.65,1.09,2.14,5.02,0.91,1.84,,
April,2.79,1.47,2.16,0.94,0.69,0.93,0.70,1.80,2.55,2.19,,
May,1.62,2.61,2.30,2.90,1.81,0.68,1.47,2.49,0.75,1.28,,
June,1.85,1.81,1.18,2.42,1.26,2.90,0.97,2.12,2.40,2.45,,
July,4.66,1.86,2.95,2.14,1.15,4.22,5.33,5.65,2.08,1.96,,
August,3.18,2.95,1.94,2.49,0.23,4.44,3.09,3.08,0.47,3.92,,
September,1.35,0.91,2.24,2.48,0.95,4.94,,2.68,0.52,2.01,,
October,0.50,1.90,1.37,5.48,1.84,1.16,,1.46,1.96,5.68,,
November,6.53,1.85,2.23,3.68,1.75,0.62,,0.97,4.30,3.85,,
December,1.76,2.03,2.75,2.28,5.22,2.38,,4.00,4.96,1.81,,
Total,32.91,21.91,20.89,30.20,19.16,27.59,,33.78,22.10,33.60,,
Calc annual,32.91,21.91,20.89,30.20,19.16,27.59,19.28,33.78,22.10,33.60,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,0.00,0.00,0.00,,
