"BURBAGE (BADGER HOUSE)",,,,,,,,,,,,
Grid ref,SK286822,Long,-1.571969,Lat,53.335939,,,,,,,
Station no,2721,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.18,4.60,1.42,2.83,3.90,5.84,2.34,3.20,3.24,5.06,,
February,3.94,1.22,2.90,3.30,3.36,1.75,3.03,5.64,0.17,3.29,,
March,4.71,2.51,2.45,2.84,3.84,1.45,2.97,2.78,1.84,2.47,,
April,1.70,2.15,2.75,0.61,1.20,2.01,0.26,1.18,3.77,1.86,,
May,4.06,3.01,2.72,3.93,3.54,0.89,1.68,3.27,1.10,2.31,,
June,1.30,2.17,3.31,3.38,4.00,4.64,1.60,5.20,1.36,1.54,,
July,1.76,2.25,3.89,3.11,1.76,6.01,3.95,8.31,1.81,4.53,,
August,4.77,1.83,3.37,6.98,1.03,6.24,7.77,3.24,0.96,4.98,,
September,2.25,3.47,1.68,3.59,1.54,4.44,5.79,3.34,0.09,4.97,,
October,1.43,5.82,1.92,4.30,2.85,2.08,2.09,3.11,2.82,7.16,,
November,9.64,2.92,1.80,6.85,2.70,1.49,2.14,0.94,4.42,5.15,,
December,3.18,3.11,1.70,5.44,4.33,5.13,3.64,4.84,4.86,3.82,,
Total,41.92,35.06,29.91,47.16,34.05,41.97,37.26,45.05,26.44,47.14,,
Calc annual,41.92,35.06,29.91,47.16,34.05,41.97,37.26,45.05,26.44,47.14,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
