CAMBRIDGE-SOUTHACRE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL450568,Long,0.11979606,Lat,52.190383,Elevation,43,ft,,,,,,,,,,,,
Station no,RR7277,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.11,2.81,1.13,0.8,0.76,1.43,,,,,,,,,
February,,,,,,1.1,1.84,1.11,0.97,0.2,2.07,,,,,,,,,
March,,,,,,1.93,1.96,0.97,1.69,2.8,0.57,,,,,,,,,
April,,,,,,1.52,0.88,2.71,2.3,1.74,2.14,,,,,,,,,
May,,,,,,1.03,1.14,3.04,1.32,1.37,,,,,,,,,,
June,,,,,,2.69,3.6,2.07,1.44,2.99,1.57,,,,,,,,,
July,,,,,,1.97,0.58,1.68,2.6,2.71,,,,,,,,,,
August,,,,,,2.13,0.61,1.9,2.11,1.94,,,,,,,,,,
September,,,,,,1.93,0.79,0.59,1.28,1.85,,,,,,,,,,
October,,,,,,1.4,3.21,2.1,1.03,3.74,,,,,,,,,,
November,,,,,,1.66,3.43,2.49,0.76,0.58,,,,,,,,,,
December,,,,,,0.88,2.25,2.89,1.6,2.81,,,,,,,,,,
Total,,,,,,19.35,23.1,22.68,17.9,23.49,,,,,,,,,,
