RUAN-MINOR,,,,,,,,,,,,,,,,,,,
Grid ref,SW720152,Long,-5.18217,Lat,49.99383,Elevation,210,ft,,,,,,,,,,,
Station no,1898,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.38,4.25,4.86,5.02,5.68,7.11,3.04,6.1,3.69,3.64,2.77,3.18,1.19,7.83,5.15,,,
February,,6.74,1.6,5.59,3.12,2.37,3.89,3.24,2.05,3.34,0.02,2.73,0.16,3.11,5.64,5.8,,,
March,,1.74,2.53,0.7,0.98,3,5.02,0.68,3.22,5.04,2.25,2.93,3.34,1.34,3.52,4.26,,,
April,3.97,3.64,2.63,2.67,2.18,2.26,3.74,1.21,2.86,1.72,2.66,2.14,3.1,4.09,2.31,2.98,,,
May,1.14,2.8,2.4,3.63,2.17,0.66,1.57,4.26,2.56,2.4,3.94,2.33,1.31,1.31,1.11,1.69,,,
June,0.89,0.26,1.71,0,2.82,3.48,1.72,2.92,0.83,3.16,2.31,1.54,2.2,2.19,1.81,1.06,,,
July,3.65,0.93,3.88,3.08,0.96,2.33,2.14,1.53,1.88,5.47,3.19,1.99,0.41,0.43,6.42,1.45,,,
August,3.81,2.06,2.36,4.97,1.75,3.38,1.76,2.38,4.98,3.07,1.14,0.92,2.5,3.06,0.49,0.41,,,
September,3.11,2.26,4.11,3.03,0.53,5.8,2.07,0.34,4.51,1.76,4.86,2.4,2.94,3.07,2.5,2.72,,,
October,1.86,5.79,8.5,3.05,4.02,2.14,6.77,6.68,4.62,0.9,7.86,5.01,2.57,4.72,1.57,2.49,,,
November,1.98,3.4,3.4,4.05,6.97,3.78,3.32,10.05,5.83,6.21,2.39,1.5,1.91,6.19,4.36,2.48,,,
December,6.2,3.38,5.1,5.11,0.85,3.26,4.76,6.54,4.07,1.54,3.15,2.27,8.71,4.56,3.3,4.18,,,
Total,,35.38,42.47,40.74,31.37,38.14,43.87,42.87,43.51,38.3,37.41,28.53,32.33,35.26,40.86,34.67,,,
,,,,,,,,,,,,,,,,,,,
1922 Mar 23 Gauge moved 0.5 miles N from Cadgwith Coastguard Houses,,,,,,,,,,,,,,,,,,,
Unknown which house but NGR matches distance to church and elevation,,,,,,,,,,,,,,,,,,,
