DUNFORD-BRIDGE-WOODLAND-CLOUGH-NO-11A,,,,,,,,,,
Grid ref,SE153002,Long,-1.7708287,Lat,53.49828,Elevation,1420,ft.,,
Station no,3154/1/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,8.05
February,,,,,,,,,,4.45
March,,,,,,,,,2.75,2.8
April,,,,,,,,,6.65,3.6
May,,,,,,,,,1.9,2.6
June,,,,,,,,,2.5,2.7
July,,,,,,,,,4.25,7.9
August,,,,,,,,,1,5.75
September,,,,,,,,,0.35,4.7
October,,,,,,,,,5.4,8.6
November,,,,,,,,,7.4,9
December,,,,,,,,,11.8,7.8
Total,,,,,,,,,,67.95
,,,,,,,,,,
NGR is from the 1950s record and is on Woodland Clough. Altitude is from OS map,,,,,,,,,,
MIDAS src_id 2740 continues to 1960 and src_id 2741  which is current,,,,,,,,,,
