DUNFORD-BRIDGE-WOODLAND-CLOUGH-NO-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE154001,Long,-1.7693262,Lat,53.497379,Elevation,1440,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3154/1/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.05,10,,,,9.1,11.25,7.35,8.3,5.8,16,4.4,4.3,7.9,,3,,,,5.1,,7,8.8
February,,,,,,,,3.3,5.8,,,,5.25,3.9,7.5,9.75,,5.4,3.8,,,,,,,4.2,5.9,,0.55,3.3
March,,,,,,,,2.45,4.25,4.8,6.65,3.9,2.6,1.6,1.9,3.05,,2.55,3.05,,7.6,3.45,4.05,,,2.8,4.5,,2.6,3.2
April,,,,,,,,0.75,3.45,4.5,4.3,2.95,3.75,4.2,3.35,2.4,5.8,3.15,6.15,5.7,3.8,3.4,4.3,1.05,2.5,3.65,0.3,2.05,6.6,3.4
May,,,,,,,,4.05,2.85,1.1,4,4.9,3.65,4.05,4.4,3.2,4.25,2.8,3.5,3.5,4.9,2.85,3,5.25,5.4,1.85,1.9,4.85,1.85,2.65
June,,,,,,,,4.75,3.65,1,2,1.25,3.7,3.2,4.6,4.4,3.8,6.45,,2.45,1.15,3.4,,3.45,4.45,4.35,1.6,6.6,2.3,2.55
July,,,,,,,,5.05,7.75,5,1.65,5.5,3,3.55,1.75,5.5,2.6,2.15,3.5,2.95,3.55,3,6.25,,1.3,,5.55,6,3.95,
August,,,,,,,,3.25,2.35,2.5,6.7,5.25,6.4,4.75,3.8,4.9,0.4,5.7,,3.7,7.1,3.6,4.95,7.8,1.05,,,4.9,0.95,5.65
September,,,,,,,,3.3,2.25,4.85,1,3.85,5.25,6.65,2.8,,2.75,2.4,2.55,,4.05,6.5,4.25,6.7,2.2,,,5.1,0.4,
October,,,,,,,,12.1,5.25,6.1,6.95,9.05,3,5.75,7.9,2.45,1.7,3.75,,2.95,1.4,8.65,3,,4,3.85,,4.6,,8.5
November,,,,,,,,7.2,10.25,10.5,4.55,2,5.1,10.1,0.95,11,7.5,2.75,9.55,7.8,12.75,4.25,4.9,,3.3,3.05,,1.8,7.5,8.4
December,,,,,,,,6.35,5.6,6.25,4.55,5.15,3.55,6.1,3.45,5.25,6.25,5.4,,,10.55,5.6,3,,7.7,8.5,,6.35,,
Total,,,,,,,,60.6,63.45,,,,54.35,65.1,49.75,,,58.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Woodland Clough at the stated altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2740 continues to 1960 and src_id 2741  which is current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
