"MARKINCH (COUL RES.)",,,,,,,,,,,,
Grid ref,NO270037,Long,-3.178765,Lat,56.220244,,,,,,,
Station no,5484/8,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.45,5.53,2.61,0.77,3.98,1.51,3.29,3.50,,
February,,,1.17,6.36,3.32,0.89,1.50,2.36,1.14,1.35,,
March,,1.35,1.53,4.90,2.92,2.91,2.01,2.00,4.15,3.91,,
April,,2.61,1.51,0.99,3.10,1.58,1.04,1.70,1.42,3.35,,
May,,2.78,2.19,1.37,2.44,1.68,5.78,3.09,1.87,2.95,,
June,,2.39,2.10,2.19,1.31,1.63,1.26,4.10,0.57,2.39,,
July,,0.46,3.62,5.18,1.29,0.98,1.03,2.62,2.62,3.83,,
August,,3.82,1.82,4.76,4.62,3.62,5.22,3.02,2.90,2.97,,
September,,2.80,1.66,2.69,2.97,1.80,0.73,1.40,7.63,1.73,,
October,,2.49,1.73,5.44,1.37,1.63,5.43,5.68,2.92,4.79,,
November,,2.38,2.58,1.70,0.73,5.25,3.37,2.08,2.71,2.00,,
December,,4.80,4.04,3.02,3.96,2.72,1.24,3.23,1.44,2.98,,
Total,,,25.40,44.13,30.64,25.46,32.59,32.79,32.66,35.75,,
Calc annual,0.00,25.88,25.40,44.13,30.64,25.46,32.59,32.79,32.66,35.75,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
