WEST-THORNEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU765024,Long,-0.915458,Lat,50.816105,Elevation,23,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.25,0.52,1.31,3.1,2.23,3.43,5.82,3.34,3.4,3.18,3.42,4.05,5.73,,1.78,4.62,1.63,6.83,0.89,3.42,2.95,2.06,1.02,2.36,3.33,1.26,,,,,,,,,,,,2.59,0.62,3.09,3.21,1.1,0.91,2.2,3.75,1.11,6.77,0.77,0.9,1.1,2.89,0.95,3.58,5.44,0.55,4.84,1.2,,,
February,0.78,1.98,0.36,0.9,0.96,2.66,3.34,1.74,1.25,2.18,2.57,1.09,1.9,,1.22,2.34,3.43,2.09,1.37,4.28,2.48,3.38,0.71,3.46,1.97,3.08,,,,,,,,,,,,3.16,1.91,2.83,4.57,1.44,1.79,1.37,4.66,0.44,3.52,0.98,0.49,0.31,3.48,1.58,2.24,1.23,4.47,4.6,4.29,,,
March,1.74,2.56,4.1,1.18,3.64,0.48,1.15,2.24,1.6,2.3,0.3,0.57,2.48,,0.86,0.64,2.76,3.05,1.01,1.41,1.1,2.13,1.04,0.58,1.9,1.79,,,,,,,,,,,,4.25,0.56,0.63,0.73,1.46,1.08,2.32,1,4.07,1.15,0.52,2.63,3.7,1.1,1.75,3.66,2.72,4.92,0.8,3.26,,,
April,1.7,0.52,1.53,0.67,1.74,0.82,1.34,1.18,2.22,1.22,0,2.2,1.25,,1.43,0.79,1.49,2.48,2.71,3.22,1.7,0.93,3.19,0.92,1.31,0.75,,,,,,,,,,,,1.74,1.06,2.67,1.26,2.24,0.88,2.27,1.37,1.73,0.65,3.74,1.97,1.22,1.83,1.53,0.03,2.39,1.29,1.17,0.76,,,
May,2.81,1.65,2.9,1.42,1.17,2.3,0.92,1.27,1.02,3.63,1.76,0.57,1.73,,0.86,1.11,0.41,2.23,2.67,2.75,0.67,1.05,0.81,2.34,0.52,3.91,,,,,,,,,,,,0.89,3.17,0.86,0.96,0.81,2.15,2.39,3.62,0.34,1.99,3.36,1.59,1.78,1.31,2.95,1.66,2.61,1,3.67,1.32,,,
June,6.11,2.36,1.5,3.01,1.58,1.83,1.95,1.1,0.48,2.11,0,3.55,1.78,,1.12,3.68,0.65,0.85,2.65,6.3,2.03,2.29,2.53,1.31,1.16,2.78,,,,,,,,,,,,3.11,1.7,0.77,3.03,3.79,3.1,2.22,0.95,3.15,1.24,1.59,0.76,2.47,2.28,1.67,2.87,0.72,1.65,1.17,1.56,,,
July,3.18,3.44,1.79,0.72,0.36,1.73,1.29,2.6,0.82,1.52,0.98,4.48,3.83,,1.88,3.93,0.09,1.92,1.07,3.71,4.92,2.5,1.94,2.94,1.97,0.42,,,,,,,,,,,,0.67,0.09,1.33,1,1.83,0.81,2.96,1.43,0.32,0.43,0.91,1.39,2.42,2.04,0.47,1.67,1.89,3.52,3.21,0.6,,,
August,3.1,0.72,1.34,1.91,1.29,4.84,2.38,2.43,4.64,0.54,1.51,1.6,1.48,,0.74,1.4,3.36,3.31,3.86,5.55,0.97,2.71,1.41,1.1,1.43,0.38,,,,,,,,,,,,2.81,1.39,0.23,2.8,1.2,3.46,4.97,2.46,2.07,0.46,1.03,2.66,2.57,2.63,0.41,6.87,2.23,1.42,1.03,1.39,,,
September,3.3,3.06,1.9,4.2,3.11,0.15,6.09,2.19,2.95,2.53,1.31,4.47,1.59,,3.24,1.74,4.53,1.25,1.91,4.49,5.3,3.2,1.62,2.21,2.94,4.44,,,,,,,,,,,,2.64,1.05,2.23,0.62,1.15,0.64,4.14,1.73,2.12,1.39,0.55,1.31,2.94,0.11,1.4,2.45,3.48,1.27,2.16,2.67,,,
October,1.41,1.5,4.89,3.32,1.83,8.18,1.51,4.2,3.16,1.76,3.95,1.76,4.48,,2.19,5.55,0.76,2.32,2.03,0.49,4.27,1.76,6.62,2.12,1.64,2.72,,,,,,,,,,,,0.33,3.17,3.03,2.37,2.34,2.27,7.42,2.27,1.39,3.94,6.39,3.6,6.78,3.26,4.83,3.26,5.77,2.44,4.11,4.56,,,
November,2.72,4.36,0.76,2.05,4.06,3.14,1.85,1.09,1.41,1.53,2.14,0.35,5.24,,2.8,4.59,3.33,7.01,1.98,0.16,1.55,3.57,3.72,3.45,0.55,2.68,,,,,,,,,,,,1.78,3.87,5.89,2.87,0.31,3.36,1.6,1.41,3.99,4.13,2.58,1.16,0.78,4.25,4.96,2,2.83,3.88,2.84,4.4,,,
December,4.04,1.45,2.34,1.76,0.91,1.95,1.05,1.41,7.93,2.28,2.64,1.5,5.56,,1.78,1.33,5.92,2.19,0.54,1.39,3.26,1.15,2.21,0.62,3.06,1.27,,,,,,,,,,,,2.75,2.81,1.7,3.13,3.33,1.74,2.23,2.99,0.58,1.71,3.07,4.21,4.24,3.69,7.32,3.08,1.91,8.58,6.62,3.85,,,
Total,33.14,24.12,24.72,24.24,22.88,31.51,28.69,24.79,30.88,24.78,20.58,26.19,37.05,,19.9,31.72,28.36,35.53,22.69,37.17,31.2,26.73,26.82,23.41,21.78,25.48,,,,,,,,,,,,26.72,21.4,25.26,26.55,21,22.19,36.09,27.64,21.31,27.38,25.49,22.67,30.31,28.87,29.82,33.37,33.22,34.99,36.22,29.86,,,
