"CLUNES (KILMALLIE)",,,,,,,,,,,,
Grid ref,NN188894,Long,-4.981725,Lat,56.960228,,,,,,,
Station no,5724/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.95,10.50,8.10,7.85,5.90,7.41,14.30,7.90,4.60,5.70,,
February,4.35,6.00,7.35,4.05,4.65,4.80,4.69,3.65,4.30,6.40,,
March,2.90,5.90,2.95,4.95,1.85,3.50,6.57,1.85,4.50,1.60,,
April,8.35,3.10,5.10,2.90,4.65,3.90,2.75,5.15,5.60,5.90,,
May,0.50,3.10,4.90,7.04,4.63,6.50,1.50,7.15,1.80,3.40,,
June,2.80,4.05,2.00,4.50,4.70,2.68,4.00,2.40,5.35,3.70,,
July,4.25,4.50,6.80,4.17,1.35,6.90,6.25,3.20,7.60,4.65,,
August,5.60,4.20,6.65,6.03,1.85,5.40,6.70,4.70,4.75,6.65,,
September,6.60,5.70,7.45,9.42,8.35,7.20,4.80,4.00,2.40,4.40,,
October,2.90,8.80,6.05,11.78,7.60,7.80,9.95,9.25,9.40,1.45,,
November,8.25,4.90,13.84,8.60,2.65,6.80,2.85,2.00,11.90,5.50,,
December,11.40,10.25,8.31,16.25,11.16,14.66,12.20,5.00,10.20,9.55,,
Total,67.85,71.00,79.50,87.54,59.34,77.55,76.56,56.25,72.40,58.90,,
Calc annual,67.85,71.00,79.50,87.54,59.34,77.55,76.56,56.25,72.40,58.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
