STON-EASTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST620535,Long,-2.5461,Lat,51.2796,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,6.8,3.1,2.36,7.44,6.5,4.05,6.65,2.41,6.13,2.37,4.3,0.77,1.35,3.08,4.26,5.49,3.96,5.1,3.47,1.29,1.22,5.35,4.73,1.85,3.08,3.45,4.27,1.1,2.18,1.01,7.17,5.71,3.14,1.94,5.24,4.25,0.95,6.63,1.58,2.37,1.7,4.73,1.99,5.05,6.15,1.46,4.96,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,4.62,2.47,1.75,4.39,1.69,2.58,2.49,5.15,1.84,2.2,5.17,5.19,4.87,2.44,5,2.44,4.89,0.61,0.82,1.73,2.31,0.89,0,1.64,5.12,4.35,0.14,0.76,3.92,3.02,4.05,6.5,1.74,1.63,2.42,5.09,1.15,2.83,2.68,2.2,0.85,6.62,3.56,3.25,1.34,5.76,7.49,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.63,2.65,1.86,2.68,3.5,1.78,1.59,5.29,2.45,2.29,1.23,2.81,2.94,2.45,1.23,4.01,1.33,2.89,3.17,4.42,4.28,1.91,2.85,0.93,0.49,3.73,4.12,4.05,4.94,0.85,1.67,1.73,3.12,2.84,5.65,2.19,6.24,2.68,1.39,4.31,4.14,0.96,3.3,8.15,4.91,7.24,1.35,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.05,0.75,4.92,3.26,0.47,2.57,1.97,4.12,3.65,2.94,3.33,2.05,0.92,5.38,0.91,1.79,3.51,4.01,2.02,3.1,4.41,2.47,1.16,0.98,0.09,2.75,2.88,1.1,4.39,2.12,4.12,2.4,3.1,1.67,3.48,2.54,2.97,1.11,4.45,3.22,3.1,3.23,2.98,0.21,4.03,2.54,1.7,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,6.45,1.67,1,2.36,1.7,0.63,3.6,0.7,3.52,8.92,3.37,0.78,3.1,2.12,1.66,2.69,3.22,5.64,2.41,1.89,3,2.14,3.39,0.85,1.33,2.55,0.5,0.25,1.73,4.66,2.62,2.7,1.28,2.57,3.61,3.72,0.11,5.52,3.14,1.8,2.26,2.56,1.78,1.65,2.85,1.96,4.28,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.21,0.67,2.65,4.75,1.64,1.62,4.28,1.22,1.72,2.99,6.55,2.07,3.14,4.95,2.98,3.95,1.26,1.26,1.11,3.28,1.37,3.83,2.46,2.41,0.91,2.46,0.85,2.07,2.51,2.68,1.45,3.35,1.48,3.61,4.85,1.47,4.08,3.03,3.83,0.78,3.7,6.39,2.17,4.08,2.02,2.39,0.67,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.19,1.59,5.85,2.98,3.02,1.35,6.65,1.31,5.24,2,4.44,5.84,3.48,5.61,3.5,4.64,0.6,3.05,1.79,8.03,2.54,4.15,3.08,3.18,5.52,5.38,4.72,1.39,1.81,0.51,0.58,1.1,2.6,1.95,4.82,3.25,0.79,1.07,3.13,3.91,3.32,3.19,0,3.84,0.73,4.11,4.76,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.59,1.67,1.84,3.03,3.54,5.13,1.62,4.58,4.91,6.62,7.27,0.59,7.23,4,3.25,2.69,2.33,1.9,2.08,2.72,5.36,3.55,7.75,4.91,2.21,3.42,4.02,2.61,6.7,2.72,1.16,3.27,2.22,3.37,6.78,3.23,4.68,3.52,3.37,6.22,3.1,6.72,2.63,9.85,1.53,3.38,2.41,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,5.79,1.57,-999,3.04,2.33,6.64,4.02,7.39,3.82,2.49,4.86,5.17,2.05,3.45,5.62,2.98,6.51,2.85,4,1.62,1.28,2.06,2.37,3.83,2.96,2.61,1.19,8.24,4.03,1.5,5.32,1.68,2.75,1.64,3.46,2.65,2.02,1.29,0.87,2.35,3.66,0.28,1.38,0.98,3.04,2.45,1.73,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.72,8.28,-999,5.57,3.44,5.63,7.18,2.41,3,6.18,1.8,5.56,2.71,6.15,4.71,1.27,5.79,5.58,3.38,1.78,4.05,2.3,7.08,3.88,3.72,4.16,4.9,3.74,1.83,4.52,3.22,4.19,2.39,3.19,9.27,1.6,2.3,7.46,6.83,2.49,7.6,6.61,4.33,5.65,3.26,3.28,4.67,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
