WALSDEN RAMSDEN RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD915214,Long,-2.130188,Lat,53.68898,Elevation,993,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.49,7.78,4.01,4.07,1.83,5.29,2.56,2.94,2.18,4.62,10.17,8.12,3.33,3.69,5.78,5.37,2.61,7.05,2.26,5.04,3.48,8.29,2.54,5.02,5.45,4.68,8.15,4.79,3.36,4.04,7.49,5.94,10.06,4.78,5.52,4.51,5.45,7.24,5.07,14.07,1.99,8.25,7.01,6.86,3.53,4.62,2.52,5.55,4.56,7.32,4.78,2.14,1.29,6.34,7.16,7.43,4.21,6.37,3.66,11.51,3.03,4.19,5.39,5.62,1.9,4.68,3.26,7.29,6.61,6.55,4.74,7.34,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.96,0.63,0.47,2.99,6.94,7.82,0.23,2.31,3.53,4.35,2.68,6.31,1.63,2.1,4.97,4.48,2.69,5.32,2.88,4.72,2.75,5.62,6.53,2.82,2.67,4.36,6.94,6.24,1.31,8.58,1.41,4.75,0.59,6.33,7.43,1.66,8.91,5.09,1.89,6.95,1.02,0.73,7.14,0.22,4.65,0.48,7.45,2.97,6.7,2.81,5.25,2.86,5.09,2.07,4.21,2.42,6.97,6.65,2.92,4.22,4.07,6.57,3.95,1.48,3.23,4.38,1.77,1.84,4.18,9.49,0.89,5.66,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.57,4.64,2.84,1.12,2.06,6.24,5.32,10.13,7,3.27,3.06,0.76,4.66,2.99,7.99,4.42,5.44,4.33,4.31,3.99,3.47,1.16,3.11,6.85,6.57,6.62,1.88,2.93,2.7,2.84,6.07,4.99,5.23,4.68,2.26,2,1.71,3.21,5.2,3.54,1.69,3.16,0.63,3.32,3.16,3.18,1.72,3.01,2.59,1.37,3.48,3.49,4.85,3.67,2.63,0.7,1.46,1.54,7.01,2.2,2.05,3.54,5.43,3.51,3.24,3.85,2.32,2.09,5.73,2.9,2.87,1.77,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.68,1.57,2.27,1.77,0.81,2.63,3.35,2.66,4.34,3.45,5.44,4.08,3.62,2.59,1.89,4.59,2.81,2.63,1.84,2.43,5.1,4.56,3.09,1.28,5.95,2.23,2.46,4.36,1.88,1.72,2.32,7.49,2.09,3.51,4.36,2.44,3.48,2.21,4.74,1.19,1.59,3.28,3.81,4.94,2.19,3.02,3.97,1.67,3.74,0.74,2.2,3.02,3.01,2.83,3.16,4.34,3.18,1.66,5.11,2.62,5,4.64,3.75,4.24,4.04,0.64,2.85,2.8,0.65,2.05,4.57,3.91,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.56,3.97,5.12,5.21,3.12,3.93,1.12,0.68,2.31,3.71,3.52,1.59,1.6,3.72,4.65,3.06,1.4,4.86,3.59,4.32,2.67,3.57,1.88,3.71,4.41,3.21,3.92,2.98,2.19,2.37,2.13,6.37,3.12,1.97,4.84,6.58,4.92,5.28,1.98,1.68,4.1,2.44,2.62,4.92,2.7,3.99,0.95,1.2,2.67,3.69,1.28,2.2,2.88,4.08,3.6,3.69,5.53,1.45,2.03,1.76,3.95,2.58,2.55,2.1,3.1,3.14,5.16,2.48,2.34,5.82,2.24,2.43,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.95,3.98,1.91,4.77,3.32,3.93,1.96,4.03,4.56,4.08,1.72,5.24,2.44,1.76,1.47,2.32,2.87,1.96,9.94,2.31,2.99,3.63,3.58,7.1,3.4,2.75,1.12,3.62,2.88,1.88,2.15,2.81,0.39,3.2,1.59,2.65,0.02,3.88,4.95,9.12,1.74,2.01,7.76,1.04,2.57,3.31,4.15,4.3,2.88,4.32,3.96,0.92,0.88,1.08,5.03,4.88,5.63,4.73,3.6,7.02,0.65,3,1.91,4.35,2.96,3.36,3.6,4.12,2.42,5.82,3.22,2.04,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,5.05,4.65,4.55,4.78,4.37,4.61,6,3.2,2.42,1.21,3.79,3.48,2.05,3.49,4.36,1.85,3.08,2.74,3.39,6.09,6.06,4.95,1.15,5.14,0.98,4.39,6.13,2.87,2.77,5.68,2.77,11.28,2.37,6.2,4.58,5.56,2.15,3.12,4.45,2.31,2.94,6.94,5.29,4.86,3.98,3.76,2.83,5.37,2.96,3.93,6.33,5.4,2.06,5.79,3.57,4.97,2.92,4.26,3.72,2.66,2.31,5.95,4.19,3.08,6.55,6.6,1.66,8.93,7.94,4.82,4.75,9.69,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,7.86,6.61,9.68,6.19,3.84,4.65,7.07,3.42,6.13,7.97,1.46,6.6,3.26,3.86,6.26,6.26,5.7,4.85,5.12,4.96,4.98,7.4,3.15,8.76,2.12,4.4,5.59,4.13,6.98,4.2,4.84,3.66,7.43,6.74,7.58,8.11,5.37,5.6,9.35,7.85,5.58,8.67,5.48,1.5,2.24,4.29,2.63,3.51,3.75,7.3,4.37,2.79,8.58,5.89,7.96,4.45,4.55,8.36,0.45,5.94,4.38,7.31,7.08,5.85,6.41,8.33,1.03,12.31,7.92,5.58,0.7,5.72,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.6,1.78,5.3,5.86,5.82,0.64,3.19,11.48,5.97,1.38,9.91,2.22,1.64,2.75,6.66,1.5,3.27,1.62,1.24,5.33,3.82,0.42,4.52,2.71,2.11,4.35,0.82,3.04,3.19,15.77,2.74,3.09,2.01,4.35,5.84,6.22,4.86,4.28,6.83,0.67,2.31,5.34,3.4,6.57,1.7,5.03,9.64,5.58,2.35,1.88,1.71,5.5,1.02,2.92,5.86,8.29,2.89,9.12,4.05,3.84,1.45,9.56,4.34,4.39,4.33,6.88,3.85,5.67,7.53,6.26,0.62,3.94,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,6.17,5.18,7.25,8.34,4.84,5.96,6.29,5.98,3.3,6.25,4.61,7.37,4.7,6.03,11.6,3.58,4.48,9,5.92,2.52,8,4.29,4.61,6.2,2.22,3.12,2.16,10.05,10.63,4.42,3.16,2.2,3.72,1.18,7.6,7.26,7.53,5.26,6.25,6.71,7.02,8.07,3.36,9.17,6.27,7.15,12.01,7.69,2.16,10.45,1.98,5.98,5.76,7.04,3.7,6.28,7.39,1.23,1.16,3.19,6.11,3.28,1.37,6.95,2.81,10.62,3.02,4.52,9.42,6.38,7.29,6.07,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,3.16,9.94,5.15,4.4,4.32,3.53,5.24,1.92,4.7,4.59,2.36,5.42,7.99,3.14,3.87,4.97,4.66,5.68,4.41,3.5,2.27,6.33,6.31,4.77,6.64,7.3,2.49,4.31,6.29,3.19,4.73,3.67,2.83,4.32,8.6,3.12,3.33,7.65,6.68,8.6,10.68,7.37,11.94,4.59,2.3,2.48,6.15,6.9,2.03,6.42,7.8,9.95,3.51,1.45,4.55,9.46,0.5,9.7,7.94,2.63,8.06,7.06,10.93,3.31,6.39,7.44,3.08,2.48,3.6,2.28,6.16,10.17,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,4.15,1.05,11.67,2.87,6.1,5.74,5.79,7.84,8.51,6.9,3.44,7.3,6.54,4.95,4.14,4.16,5.71,5.45,6.35,3.88,8.83,5.49,7.46,7.1,3.9,8.47,10,3.76,2.41,11.24,9.37,5.3,7.3,6,5.29,6.68,4.78,2.47,1.56,3.43,11.08,4.61,2.93,3.55,0.59,6.8,4.64,6.13,2.47,5.12,3.96,5.87,3.25,4.53,3.09,5.95,3.26,5.11,5.4,5.19,9.03,3.29,11,5.02,2.33,8.29,7.95,6.19,6.72,5.49,11.59,6.24,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,46.2,51.78,60.22,52.37,47.37,54.97,48.12,56.59,54.95,51.78,52.16,58.49,43.46,41.07,63.64,46.56,44.72,55.49,51.25,49.09,54.42,55.71,47.93,61.46,46.42,55.88,51.66,53.08,46.59,65.93,49.18,61.55,47.14,53.26,65.49,56.79,52.51,55.29,58.95,66.12,51.74,60.87,61.37,51.54,35.88,48.11,58.66,53.88,38.86,55.35,47.1,50.12,42.18,47.69,54.52,62.86,48.49,60.18,47.05,52.78,50.09,60.97,61.89,49.9,47.29,68.21,39.55,60.72,65.06,63.44,49.64,64.98,,,,,,,,,,,,,,,,,,,
