WALSDEN RAMSDEN RESERVOIR (Gauge No 2),,,,,,,,,,
Grid ref,SD917209,Long,-2.1262,Lat,53.6851,Elevation,1326,ft,,
Station no,3238,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.31,,,,,,,,
February,,5.52,,1.93,,,,,,
March,,2.54,,3.74,,,,,,
April,,1.43,,4.38,,,,,,
May,,1.58,,3.26,,,,,,
June,,2.46,,2.4,,,,,,
July,,0.9,,0.74,,,,,,
August,,3.48,,1.3,,,,,,
September,,1.61,,1.5,,,,,,
October,,2.73,,1.66,,,,,,
November,,4.84,,5.39,,,,,,
December,,5.11,,,,,,,,
Total,,33.51,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1913 Jan Dec estimated,,,,,,,,,,
