JERSEY-LA-ROQUE-SANDHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV696470,Long,-2.045201,Lat,49.170888,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.85,4.95,3.71,3.76,3.69,2.26,3.23,2.95,3.58,1.27,2.34,1.63,3.15,4.54,,,2.81,,,,,,,,,
February,,,,,3.18,2.36,4.69,1.33,1.24,2.81,3.19,0.3,1.54,0.88,1.79,1.38,1.09,0.71,,,3.73,,,,,,,,,
March,,,,,0.76,2.28,3.47,0.24,1.62,2.89,3,2,0.54,0.24,0.37,1.09,4.51,0.44,,,3.31,,,,,,,,,
April,,,,,2.5,1.15,1.91,0.06,1.32,1.15,2.62,0.92,0.61,2.65,0.75,1.74,1.88,1.68,,,1.79,,,,,,,,,
May,,,,,1.51,0.89,1.99,0.74,0.62,1.71,1.59,3.85,1.16,0.29,1.48,2.21,1.02,1.26,,,3.55,,,,,,,,,
June,,,,,3.73,2.32,1.04,0.06,1.82,0.23,2.22,0.47,0.68,1.35,1.76,0.96,2.61,1.06,,,1.38,,,,,,,,,
July,,,,,0.98,2.35,0.85,1.33,2.32,5.16,1.96,1.35,2.57,2.69,1.86,1.2,0.56,0.59,,,1.3,,,,,,,,,
August,,,,4.22,2.53,0.55,1.01,1.6,1.73,0.03,5.28,2.13,0.83,1.39,1.58,3.61,1.23,2.2,,,4.78,,,,,,,,,
September,,,,1.45,2.38,1.97,3.38,2.47,0.84,1.26,0.81,2.82,3.47,1.85,1.58,1.42,1.31,0.81,,,4.34,,,,,,,,,
October,,,,3.04,3.4,0.85,2.38,2.59,4.52,2.43,1.54,2.42,3.02,3.8,1.13,0.98,0.99,2.04,,,0.91,,,,,,,,,
November,,,,2.5,4.59,3.78,1.96,3.69,3.01,6.65,1.58,1.62,2.3,4.9,1.1,2.18,3.51,1.83,,,6.15,,,,,,,,,
December,,,,5.63,5.24,1.05,4.42,3.11,2.06,4.42,1.94,2.59,1.9,2.6,3.19,3.03,4.6,2.43,,,4.09,,,,,,,,,
Total,,,,,31.65,24.5,30.81,20.98,24.79,31,28.96,23.42,22.2,23.91,18.93,21.43,26.46,19.59,,,38.14,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sandhurst, La Roque, Grouville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 July Gauge moved 1/2m E from St Edmunds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation given as 10ft which is not possible this far inland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
