JERSEY-LA-ROQUE-SANDHURST-(ST-EDMUNDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV694467,Long,-2.04772,Lat,49.1697,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.35,1.99,1.38,5.95,4.1,2.56,4.46,2.49,2.81,4.73,3.9,5.09,4.7,2.53,3.52,3.49,2.19,2.38,3.08,,,,,,
February,,,,,,,6.29,1.4,1.13,4.98,0.35,0.55,2.34,3.7,0.89,3.56,2.81,1.89,3.87,1.38,2.28,3.94,0.39,4.44,0.24,,,,,,
March,,,,,,,2.78,2.39,2.06,4.62,1.44,1.07,3.8,1.98,2.37,0.73,0.99,3.02,2.34,0.06,2.49,2.46,2.45,1.44,3.87,,,,,,
April,,,,,,,1.11,1.26,2.39,1.86,2.61,1.37,3.2,3.13,3.43,3.43,2.91,1.62,2.33,1.79,3.99,1.9,2.69,1.65,1.89,,,,,,
May,,,,,,,1.14,1.82,1.57,1.13,2.49,0.83,1.12,3.68,2.13,3.31,2.5,0.1,4.91,1.4,2.37,1.76,3.06,2.51,0.73,,,,,,
June,,,,,,,0.66,1.77,0.51,0.61,1.96,1.52,2,1.09,0.78,0.02,3.7,3.7,2.31,3.17,0.88,1.63,1.42,2.43,1.13,,,,,,
July,,,,,,,0.22,1.86,3.22,1.5,2.64,0.59,2.9,0.98,1.83,2.68,0.94,3.16,0.52,1.5,3.1,2.55,1.39,2.8,,,,,,,
August,,,,,,,2.36,3.92,1.73,2.33,0.81,1.11,2.46,1.19,2.73,3.54,1.39,3.76,3.25,1.18,2.78,8.36,1.3,2.51,,,,,,,
September,,,,,,,3.43,0.79,4.13,1.75,3.61,1.29,2.28,3.66,2.43,2.73,0.31,6.7,2.47,4.3,3.13,2.05,3.59,2.45,,,,,,,
October,,,,,,,5.03,6.43,3.2,1.94,1.42,0.58,1.83,4.62,3.98,2.37,2.61,1.6,5.92,6.62,4.4,0.69,5.24,3.63,,,,,,,
November,,,,,,,5.97,1.97,3.32,5.14,1.47,2.58,2.14,3.97,1.19,5.02,6.84,4.11,4.49,7.24,7.28,3.82,2.69,1.96,,,,,,,
December,,,,,,,4.07,1.87,4.59,4.32,3.1,2.78,4.23,3.82,3.38,5.88,1.17,2.23,4.23,5.26,4.28,1.15,1.32,1.84,,,,,,,
Total,,,,,,,34.41,27.47,29.23,36.13,26,16.83,32.76,34.31,27.95,38,30.07,36.98,41.34,36.43,40.5,33.8,27.73,30.04,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House called St Edmund's in Pontac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not found so correct elevation in Pontac given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Gauge moved 13 yrds S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Total in brackets but no reason given and no months are in brackets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 July Gauge moved 1/2m E to Sandhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
