"DOBCROSS",,,,,,,,,,,,
Grid ref,SD991066,Long,-2.015057,Lat,53.556024,,,,,,,
Station no,RR2291,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.47,6.17,3.14,,,,,,,,,
February,3.66,2.61,1.48,,,,,,,,,
March,1.33,4.27,2.83,,,,,,,,,
April,3.46,3.23,2.51,,,,,,,,,
May,1.69,1.82,3.22,,,,,,,,,
June,5.86,2.27,1.58,,,,,,,,,
July,4.61,3.17,3.14,,,,,,,,,
August,6.83,2.59,4.15,,,,,,,,,
September,2.19,0.92,2.99,,,,,,,,,
October,7.19,4.09,6.18,,,,,,,,,
November,4.02,5.99,2.20,,,,,,,,,
December,6.35,3.15,4.19,,,,,,,,,
Total,53.66,40.28,37.61,,,,,,,,,
Calc annual,53.66,40.28,37.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
