HENDON-COUNCIL-DEPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ239875,Long,-0.21355841,Lat,51.572763,Elevation,157,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,861/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.42,2.43,2.57,4.99,1.84,1.98,1.74,1.51,4.32,1.14,1.02,2.77,1.61,0.9,0.95,2.3,3.98,1.37,2.57,2.06,2.03
February,,,,,,,4.59,,0.46,1.72,2.11,1.15,1.49,0.91,1.75,2.75,1.55,1.36,1.08,3.64,5.17,0.84,1.87,2.24,1.65,0.29,2.96,2.45,0.06,2.33
March,,,,,,,3.17,,1.12,3.3,2.96,1.8,0.35,0.17,0.64,1.27,5.89,0.67,1.09,0.8,3.49,3,0.34,2.19,1.13,0.9,1.09,1.21,1.73,1.88
April,,,,,,,2.84,,2.26,2.18,1.94,1.4,1.26,1.51,1.06,1.78,1.85,1.54,1.62,2.07,2.71,1.22,2.4,0.23,0.44,1.12,0.21,1.71,2.37,0.53
May,,,,,,,3.15,,1.47,1.59,2.07,2.6,2.05,0.53,3.56,3.16,1.02,2.89,2.07,1.76,2.18,1.91,1.45,2.11,4.5,0.42,1.05,2.5,0.66,2.06
June,,,,,,,1.83,,1.51,0.85,2.51,0.79,1.5,1.65,1.84,2.89,2.83,2.83,0.78,1.26,1.1,1.85,1.51,3.56,2.26,2.47,0.82,4.86,1.15,1.51
July,,,,,,,0.77,,3.09,2.32,5.24,1.76,1.78,1.57,2.74,2.98,1.94,1.17,0.71,3.94,1.05,0.5,3.88,2.71,0.19,4.76,3.79,2.3,1.16,3.58
August,,,,,,,2.66,,5.58,0.13,6.08,1.95,1.61,2.38,1.06,3.9,0.21,2.62,1.86,1.87,3.69,3.23,1.79,3.29,1.1,4.7,2.23,4.02,1.71,2.02
September,,,,,,,1.58,,1.43,1.02,0.48,1.14,2.26,2.5,1.54,4.16,1.45,1.4,0.42,2.55,3.38,3.7,1.81,1.72,1.52,2.26,2.18,4.51,0.06,4.65
October,,,,,,,2.97,,5.58,3.26,0.92,3.92,2.66,3.5,2.92,1.48,0.3,2.09,5.53,0.43,0.99,3.21,3.08,2.32,3.55,2.81,1.86,2.7,2.14,5.24
November,,,,,,,1.55,,5.06,6.94,2.45,2,1.72,3.97,0.18,4.36,1.16,2.05,2.52,4.8,5.1,4.01,1.26,3.78,0.98,0.4,2.24,2.31,2.38,4.16
December,,,,,,,4.11,,1.14,1.43,2,2.72,1.35,1.45,3.14,2.1,2.52,2.8,1.65,1.65,1.5,2.1,0.57,1.76,2.21,3.09,2.05,2.9,3.59,2.59
Total,,,,,,,,,,27.16,31.19,23.8,23.02,21.98,22.41,32.57,22.23,25.74,20.47,25.79,33.13,27.18,20.86,26.86,21.83,27.2,21.85,34.04,19.07,32.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 5601 HENDON DEPOT Start 1937 end 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record sheet and is a council depot, the observer is Middlesex County Council",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 1940 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
