COUPAR ANGUS,,,,,,,,,,
Grid ref,NO 22442 40125,Long,-3.263036,Lat,56.546686,Elevation,183,ft,,
Station no,RR2891,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.97,6.62,1.79,2.04,2.94,,,
February,,,2.54,1.13,3.51,6.62,2.95,,,
March,,,2.15,5.26,3.45,1.49,2.87,,,
April,,,0.18,2.22,0.86,1.04,1.46,,,
May,,,1.58,5.2,1.84,0.99,3.53,,,
June,,,2.96,2.24,0.94,1.27,2.38,,,
July,,,2.58,0.42,3.02,3.4,7.22,,,
August,,,3.34,1.26,2.51,3.89,3.58,,,
September,,,2.12,1.99,0.64,1.77,1.38,,,
October,,,3.73,1.72,2.51,4.41,,,,
November,,,1.82,2.05,3.71,2.07,,,,
December,,,4.37,0.91,6.69,6.06,,,,
Total,,,31.34,31.02,31.47,35.05,,,,
