CODDENHAM-SHRUBLAND-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM129525,Long,1.1090833,Lat,52.129775,Elevation,162,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.43,1.06,2.32,1.14,3.25,2.03,1.96,1.72,0.81,1,1.5,2.65,3.27,4.43,,,,,,,,,,,,,,2.21,2.51,0.95,1.6,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.05,2.59,1.83,2.52,1.03,0.46,0.74,2.6,0.74,1.81,0.34,2.91,3.55,3.34,,,,,,,,,,,,,,3.36,0.82,1.17,2.38,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.58,1.08,0.22,2.15,2.16,0,1.4,0.61,1.58,2.05,1.98,0.97,0.63,3.01,,,,,,,,,,,,,,3.41,2.88,0.36,2.53,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.91,2.13,3.17,2.35,1.1,1.36,1.59,3.23,2.84,1.18,2.67,3.01,1.11,2.66,,,,,,,,,,,,,,2.79,1.13,2.39,0.42,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,5.37,2.52,1.61,0.67,1.91,1.2,2.27,2.55,3.86,1.04,1.42,1.61,0.57,3.17,,,,,,,,,,,,,,2.15,0.78,1.87,1.86,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.09,0.48,2.72,4.05,1.79,0.7,1.02,1.93,0.58,1.8,0.92,2.73,3.87,1.3,,,,,,,,,,,,,,1.39,0.91,2.36,2.69,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.91,2.27,1.62,3.15,2.6,2.71,4.06,3.03,1.98,0.84,1.59,0.44,4.89,1.55,,,,,,,,,,,,,,2.32,0.76,2.4,2.88,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.88,2.54,1.08,3.13,2.39,1.16,2.8,3.84,1.36,1.13,2.76,1.45,1.14,1.54,,,,,,,,,,,,,,3.25,4.47,2.12,5.55,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.19,3.32,1.27,3.96,0.53,0.53,5.22,2.05,1.47,3.06,1.59,3.66,2.6,1.55,,,,,,,,,,,,,,2.57,3.3,1.39,1.32,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,3.93,3.17,3.2,1.88,1.91,3.09,0.91,0.83,5.05,1.87,1.91,2.49,1.98,1.49,,,,,,,,,,,,,,0.71,2.2,2.34,1.96,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
