"FOREST OF DEAN (EDGEHILLS LODGE)",,,,,,,,,,,,
Grid ref,SO663158,Long,-2.490539,Lat,51.839780,,,,,,,
Station no,2134,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.55,2.55,0.75,2.00,,,2.89,3.19,,,,
February,4.69,1.26,1.78,2.90,,,4.58,5.93,0.28,,,
March,2.68,2.71,1.13,2.82,,,3.72,2.10,3.36,,,
April,2.44,2.91,2.98,0.32,,,0.00,0.78,4.09,,,
May,3.15,4.20,2.23,2.71,,,2.43,3.29,1.19,1.76,,
June,1.36,1.43,2.21,6.71,,,1.42,5.36,1.51,2.45,,
July,0.49,1.89,4.24,2.63,,,3.31,3.03,2.48,2.88,,
August,5.34,5.12,3.09,3.96,,,4.53,3.44,1.29,4.16,,
September,2.37,2.14,3.57,3.09,,5.15,4.12,9.64,,5.48,,
October,1.50,3.40,2.06,4.56,,1.61,2.17,3.94,,5.86,,
November,8.31,4.46,1.37,6.38,,0.60,2.83,3.19,,8.11,,
December,2.72,0.76,0.48,2.11,,4.81,2.97,5.84,,2.90,,
Total,38.60,32.83,25.89,40.19,,,34.97,49.73,,,,
Calc annual,38.60,32.83,25.89,40.19,0.00,12.17,34.97,49.73,14.20,33.60,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,0.00,-0.00,NaN,NaN,,
