CREWE-WISTASTON-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ706558,Long,-2.4405261,Lat,53.098585,Elevation,173,ft.,,,,,,,,,,,,
Station no,RR7835,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.2,3.44,2.22,1.05,0.46,2.03,0.23,3.17,0.99,1.47,,,,,
February,,,,,,1.76,0.29,0.74,0.64,1.8,,1.9,1.14,2.82,1.46,,,,,
March,,,,,,1.4,1.72,1.43,1.88,0.12,,1.35,0.82,1.06,0.78,,,,,
April,,,,,,1.98,1.17,0.86,0.95,3.46,,0.23,1.11,3.36,1.06,,,,,
May,,,,,,1.54,3.62,1.25,0.76,2.55,1.73,4.24,2.91,1.69,2.45,,,,,
June,,,,,,3.23,1.28,0.57,1.1,0.55,1.87,4.94,4.39,2.19,2.48,,,,,
July,,,,,,1.2,0.99,1.14,5.87,4.25,2.78,1.41,2.73,3.37,1.75,,,,,
August,,,,,,1.71,0.88,0.99,2.73,4.75,3.04,3.5,2.56,2.36,2.68,,,,,
September,,,,,,3.94,2.13,2.66,0.8,2.24,0.25,0.21,3.04,2.59,0.73,,,,,
October,,,,,,4.73,2.77,2.54,1.36,1.57,1.66,2.73,5.82,3.09,2.79,,,,,
November,,,,,,2.48,1.78,0.98,3.21,1.48,3.52,1.49,1.19,2.57,1.55,,,,,
December,,,,,,1.38,3.86,3.1,2.03,1.82,,3.13,1.85,0.83,1.42,,,,,
Total,,,,,,26.55,23.93,18.48,22.38,25.05,,25.36,30.73,26.92,20.62,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church.,,,,,,,,,,,,,,,,,,,,
Stated altitude varies but does not really match the actual altitude. ,,,,,,,,,,,,,,,,,,,,
Wistaston Road is 200m S of the church (not N) and slightly better match to the altitude.,,,,,,,,,,,,,,,,,,,,
Reference to the clock tower on the 1880s record could place the gauge in Queens Park; 1.8km W and not on Wistaston Road.,,,,,,,,,,,,,,,,,,,,
"Wistaston Road is crossed out on the 1890s record and it is very likely that the gauge moved at least once in its life, particulalry given the gap in readings in 1890.",,,,,,,,,,,,,,,,,,,,
1893 is noted as being unreliable and 1894 is noted as being too small. These readings left in this record,,,,,,,,,,,,,,,,,,,,
