BROMLEY-GILBERT-ROAD (RODWAY ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ406700,Long,0.0203,Lat,51.411596,Elevation,220,ft,,,,,,,,,,,,
Station no,RR4504,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.08,1.45,1.09,2.15,1.01,,,,,,,,
February,,,,,,,,1.64,1.11,0.49,3.3,1.11,,,,,,,,
March,,,,,,,,0.84,2.3,3,1.29,1.8,,,,,,,,
April,,,,,,,,3.13,2.26,1.59,1.65,1.87,,,,,,,,
May,,,,,,,,2.08,1.59,1.15,2.27,0.9,,,,,,,,
June,,,,,,,,2.93,1.98,3,2.58,1.97,,,,,,,,
July,,,,,,,,0.85,3.59,3.33,2.26,0.37,,,,,,,,
August,,,,,,,,2,3.46,1.97,2.07,1.06,,,,,,,,
September,,,,,,,,0.6,1.34,2.98,1.09,,,,,,,,,
October,,,,,,,,3.12,1.97,3.78,2.54,,,,,,,,,
November,,,,,,,,2.5,0.74,0.86,3.19,,,,,,,,,
December,,,,,,,,2.46,1.96,2.64,3.52,,,,,,,,,
Total,,,,,,,,23.23,23.75,25.88,27.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1911 Sep Gauge moved,,,,,,,,,,,,,,,,,,,,
