"TRUMPINGTON GILMERTON",,,,,,,,,,,,
Grid ref,TL448516,Long,0.114656,Lat,52.143717,,,,,,,
Station no,1203/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.40,0.48,0.47,1.74,1.44,1.18,2.69,,,,,
February,3.31,0.63,1.02,0.54,2.38,1.27,1.87,,,,,
March,0.70,2.02,0.81,1.97,1.36,1.90,1.69,,,,,
April,0.71,2.34,0.82,1.55,0.74,1.62,0.83,,,,,
May,1.30,0.77,3.69,3.50,1.58,1.16,1.21,,,,,
June,2.12,2.07,2.28,3.54,1.21,3.56,3.65,,,,,
July,1.08,2.10,0.98,4.43,3.05,1.74,0.85,,,,,
August,2.36,2.00,3.20,2.76,1.87,2.58,0.77,,,,,
September,0.51,1.61,0.60,2.08,1.69,1.82,0.78,,,,,
October,1.80,2.44,1.33,4.71,1.18,1.55,,,,,,
November,1.89,1.24,1.28,2.23,1.33,1.86,,,,,,
December,1.92,2.11,1.13,1.21,1.76,0.78,,,,,,
Total,20.10,19.81,17.61,30.26,19.59,21.02,,,,,,
Calc annual,20.10,19.81,17.61,30.26,19.59,21.02,14.34,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
