"GLASGOW, MAXWELL DRIVE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 57084 63725,Long,-4.284137,Lat,55.845499,Elevation,60,ft,,,,,,,,,,,,,
Station no,5206,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.48,5.89,3.62,7.54,4.79,4.52,2.02,4.91,3.94,6.77,,
February,,,,,,,,,,1.52,0.27,3.38,0.04,3.14,0.4,3.71,1.87,5.17,2.21,,
March,,,,,,,,,,0.83,3.29,1.25,2.22,2.46,2.35,1.81,2.18,1.22,3.38,,
April,,,,,,,,,,1.19,1.21,1.53,3.4,1.39,2.22,2.84,1.26,1.8,0.41,,
May,,,,,,,,,,2.43,1.48,4.28,3.3,2.64,1.95,0.51,1.5,1.45,4.87,,
June,,,,,,,,,4.76,2.82,2.73,5.2,0.97,2.04,1.87,5.04,1.38,1.89,4.24,,
July,,,,,,,,,1.72,2.6,4.17,3.76,3.09,3.98,1.98,1.61,5.24,3.55,4.56,,
August,,,,,,,,,3.43,5.85,5.39,2.11,1.41,2.56,4.36,2.31,2.79,3.05,2.95,,
September,,,,,,,,,2.79,1.21,5.6,1.33,3.94,0.78,4.15,5.19,3.67,2.62,3.4,,
October,,,,,,,,,6.05,4.78,6.26,2.73,5.98,2.75,5.6,8.13,1.77,2.28,7.97,,
November,,,,,,,,,4.52,7.15,4.91,6.78,3.43,1.98,0.7,4.08,3.91,0.75,7.18,,
December,,,,,,,,,3.8,9.01,3.65,3.46,7.88,0.7,4.12,3.02,5.81,1.75,2.16,,
Total,,,,,,,,,,40.87,44.85,39.43,43.2,29.21,34.22,40.27,36.29,29.47,50.1,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5206,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,657565,,,,,,,,,,,,,,,,,,,,
