NEW MALTON - BROUGHTON ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE782721,Long,-0.805,Lat,54.139,Elevation,164,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955
January,,2.63,3.29,1.56,3.38,0.79,3.67,2.24,2.14,2.80,2.53,2.59,1.76,2.65,1.45,2.74,2.02,4.78,1.96,3.49,2.21,1.58,2.01,1.92,2.07,3.88,3.26,3.08,3.53,1.75,3.45,3.23,3.53,2.46,4.33,2.20,2.43,4.78,0.67,0.92,2.31,1.94,0.92,1.69,1.65
February,,1.13,0.93,1.53,3.85,3.30,0.71,2.61,1.71,0.91,0.17,2.41,3.81,1.93,3.24,1.62,1.20,1.94,0.76,1.09,2.73,0.72,4.05,1.54,2.92,2.26,3.52,0.96,1.36,1.34,3.21,0.92,0.36,1.92,1.93,1.37,2.37,1.31,0.73,3.98,2.67,0.62,1.91,2.23,1.76
March,,3.21,2.23,1.88,0.90,2.97,1.96,1.34,3.55,2.02,1.15,2.90,1.35,1.08,1.35,0.75,1.59,2.60,0.32,2.02,0.90,2.04,2.05,1.89,0.53,1.01,2.57,0.19,2.27,1.58,2.82,1.24,0.31,0.19,0.48,1.07,3.65,0.88,1.20,1.14,3.20,1.89,0.12,1.89,2.01
April,,0.23,2.55,0.78,1.04,1.61,2.13,1.53,2.13,3.59,1.31,1.62,1.51,2.06,2.48,1.55,2.01,0.86,1.55,2.88,3.03,1.84,1.31,2.40,1.82,1.46,3.28,0.17,1.46,1.50,1.27,1.20,1.20,2.55,1.91,1.70,2.13,1.33,1.97,2.95,1.12,1.32,2.43,0.12,1.22
May,,2.40,2.18,1.82,1.21,3.12,1.17,2.05,1.04,1.78,1.72,0.86,2.52,3.91,2.53,1.63,0.96,1.14,1.35,1.01,2.71,5.38,2.44,1.33,1.04,1.56,2.55,2.71,1.12,1.31,1.16,2.95,2.39,0.92,1.73,1.63,1.22,2.24,2.50,1.84,2.34,0.90,1.89,2.98,2.43
June,,6.57,1.58,2.52,0.24,1.97,1.71,0.73,0.79,1.28,0.25,2.35,0.70,1.47,0.09,3.75,3.24,4.12,1.94,1.64,4.34,0.71,2.50,1.33,2.79,3.28,2.37,1.90,2.45,0.50,1.04,1.03,1.94,2.93,2.23,2.66,2.18,4.72,0.67,1.27,1.53,2.04,2.33,1.52,1.82
July,1.58,3.13,0.12,4.79,4.96,3.00,1.41,4.01,2.82,5.31,1.81,4.60,3.43,3.43,1.05,2.18,3.13,0.67,1.80,3.59,3.52,3.39,1.52,1.59,0.35,3.12,1.65,2.73,2.98,6.42,2.76,2.25,1.82,1.97,1.28,2.56,2.01,1.57,1.70,1.66,2.18,1.41,2.31,1.90,1.38
August,3.90,4.63,1.12,1.47,2.25,2.64,6.41,2.30,2.41,1.52,4.22,3.29,3.71,2.12,3.20,2.65,6.98,4.16,2.40,4.06,1.88,1.81,0.58,2.43,1.33,2.97,0.95,2.37,1.48,0.94,2.52,2.17,2.89,3.86,3.06,3.45,0.02,3.58,1.96,4.57,5.59,2.00,3.38,5.14,1.03
September,2.28,1.63,0.95,1.91,1.41,1.11,0.89,5.53,0.96,1.77,0.95,1.89,2.35,2.30,2.15,1.02,4.28,0.51,0.49,3.18,4.67,2.35,2.35,1.56,4.53,1.59,1.65,2.14,0.73,1.85,0.72,2.19,3.01,4.44,2.06,4.18,1.57,1.31,0.76,3.75,1.74,3.69,1.44,2.00,1.71
October,2.63,2.63,3.38,2.09,0.72,3.24,3.44,1.25,4.51,1.61,1.49,1.11,2.17,3.49,2.31,2.53,2.04,3.63,2.45,1.89,1.25,3.31,3.95,1.56,3.44,1.90,2.76,3.79,3.93,3.32,3.79,1.77,1.37,2.43,2.89,0.62,0.80,1.27,2.59,1.29,1.40,2.04,1.68,3.56,2.38
November,3.85,2.67,2.18,3.02,2.08,2.89,1.76,2.03,2.23,1.11,2.49,1.26,4.12,1.42,2.59,3.46,3.20,2.87,3.93,3.72,2.89,1.70,2.52,1.59,4.24,2.51,1.87,2.71,2.88,3.55,2.55,0.68,2.93,3.65,1.39,5.27,1.90,1.17,4.53,4.22,5.21,2.44,2.33,5.06,1.61
December,4.53,1.48,1.73,5.05,4.84,2.60,1.95,3.76,3.12,2.83,2.09,2.95,2.69,2.49,3.63,0.80,2.02,1.79,5.31,2.00,1.15,1.39,0.77,3.70,2.31,1.40,3.90,3.75,1.82,2.59,0.34,2.03,1.47,1.60,1.37,2.63,1.52,2.20,2.00,3.36,2.43,1.83,1.14,2.34,3.44
Total,,32.34,22.24,28.42,26.88,29.24,27.21,29.38,27.41,26.53,20.18,27.83,30.12,28.35,26.07,24.68,32.67,29.07,24.26,30.57,31.28,26.22,26.05,22.84,27.37,26.94,30.33,26.50,26.01,26.65,25.63,21.66,23.22,28.92,24.66,29.34,21.80,26.36,21.28,30.95,31.72,22.12,21.88,30.43,22.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
