MALTON - LONGSTER'S GARDEN,,,,,,,,,,,
Grid ref,SE783714,Long,-0.803,Lat,54.133,Elevation,50,ft,,,
Station no,RR1738,,,,,,,,,,
,,,,,,,,,,,
,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905
January,3.14,0.55,2.51,0.80,2.40,3.54,,1.75,2.24,,0.52
February,0.49,0.61,1.98,1.65,1.30,3.46,,1.12,2.06,,0.89
March,2.05,2.52,2.80,1.76,1.90,1.09,,1.57,2.78,,2.30
April,1.34,0.97,1.90,2.53,1.65,1.59,,1.51,2.27,,2.70
May,0.46,0.80,1.32,2.45,3.40,1.63,,1.67,2.45,,1.40
June,3.12,2.78,2.05,1.94,0.78,2.40,,2.00,1.95,,1.29
July,4.76,2.20,0.78,0.82,1.05,1.52,,2.47,3.94,,2.32
August,1.99,2.06,3.80,3.20,1.75,3.84,,2.51,2.48,,3.48
September,1.30,3.26,2.90,0.34,4.10,1.06,,0.55,3.45,,3.41
October,4.13,2.54,1.75,3.15,2.28,4.47,,2.49,6.51,,1.76
November,2.74,1.80,2.75,2.52,1.25,2.73,,0.91,1.64,,3.78
December,1.98,2.56,2.01,1.60,2.80,2.93,,2.64,1.43,,0.70
Total,27.50,22.65,26.55,22.76,24.66,30.26,,21.19,33.20,,24.55
,,,,,,,,,,,
TYRain_1890-1899_17_pt1/187,,,,,,,,,,,
TYRain_1900-1909_22_pt1/085,,,,,,,,,,,
,,,,,,,,,,,
# Longster's Gardens seems to have been where the nursery is shown on the map.,,,,,,,,,,,
