"MALTON (BROUGHTON ROAD)",,,,,,,,,,,,
Grid ref,SE782721,Long,-0.804528,Lat,54.138798,,,,,,,
Station no,RR1738,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,1.94,0.92,1.69,1.65,,,,,,,
February,2.67,0.62,1.91,2.23,1.76,,,,,,,
March,3.20,1.89,0.12,1.89,2.01,,,,,,,
April,1.12,1.32,2.43,0.12,1.22,,,,,,,
May,2.34,0.90,1.89,2.98,2.43,,,,,,,
June,1.53,2.04,2.33,1.52,1.82,,,,,,,
July,2.18,1.41,2.31,1.90,1.38,,,,,,,
August,5.59,2.00,3.38,5.14,1.03,,,,,,,
September,1.74,3.69,1.44,2.00,1.71,,,,,,,
October,1.40,2.04,1.68,3.56,2.38,,,,,,,
November,5.21,2.44,2.33,5.06,1.61,,,,,,,
December,2.43,1.83,1.14,2.34,3.44,,,,,,,
Total,31.72,22.12,21.88,30.43,22.44,,,,,,,
Calc annual,31.72,22.12,21.88,30.43,22.44,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
