BAMPTON-STUCKERIDGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS926212,Long,-3.53082,Lat,50.98018,Elevation,650,ft,,,,,,,,,,,,,
Station no,1795,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,5.9,6.29,1.59,6.4,4.63,5.77,2.49,4.1,1.3,,,,,
February,,,,,,,,4.41,4.03,1.5,1.41,3.34,0.01,3.63,0.38,4.63,,,,,
March,,,,,,,,4.84,4.95,0.52,2.71,1.42,2.29,3.25,2.99,1.73,,,,,
April,,,,,,,,2.44,1.3,0.73,3.46,3.67,3.47,1.37,3.34,5.28,,,,,
May,,,,,,,,1.15,0.77,3.08,2.34,4.63,2.86,3.08,1.95,2.14,,,,,
June,,,,,,,,3.53,2.24,2.88,0.64,3.2,1.47,2.39,2.07,2.84,,,,,
July,,,,,,,,3.97,2.09,2.26,3.39,4.77,3.32,1.55,1.21,0.4,,,,,
August,,,,,,,,3.95,3.16,3.89,5.28,4.77,2.16,1.08,4.88,2.45,,,,,
September,,,,,,,,6.76,1.3,0.6,5.69,1.86,6.45,1.19,2.82,5.2,,,,,
October,,,,,,,,2.81,5.31,6.87,5.69,1.13,8.27,4.59,3.57,5.5,,,,,
November,,,,,,,,4.03,5.42,11.06,5.41,6.93,2.83,0.99,1.76,7.2,,,,,
December,,,,,,,,3.38,5.02,9.69,5.11,2.13,2.53,1.33,11.02,5.3,,,,,
Total,,,,,,,,47.17,41.88,44.67,47.53,42.48,41.43,26.94,40.09,43.97,,,,,
,,,,,,,,,,,,,,,,,,,,,
From Heyford Manor Northants,,,,,,,,,,,,,,,,,,,,,
1936 Station terminated owing to death of observer,,,,,,,,,,,,,,,,,,,,,
