BIGGAR SHIELDHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT006404,Long,-3.580991,Lat,55.646939,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.82,2.17,1.48,2.11,2.36,2.81,1.79,3.98,1.91,2.5,2.67,5.17,6.83,3.42,2.63,3.15,4.1,3.74,4.35,7.56,0.94,4.69,2.21,5.46,4.47,4.58,2,3.91,4.56,5.79,3.58,1.47,0.86,,,,,,,,,
February,,,,,,,,,,1.75,3.89,3.24,1.96,1.76,3.36,3.79,3.98,1.07,3.72,0.76,4.09,0.61,3,4.08,0.7,3.92,3.05,1.44,3.51,1.59,0.41,2.51,0.22,3.11,0.3,4.33,2.83,3.63,1.4,4.2,0.75,3.23,,,,,,,,,
March,,,,,,,,,,3.26,1.84,1.8,2.48,3.59,3.75,1.7,1.89,1.94,0.88,2.41,4.08,4.48,1.8,1.56,0.6,1.8,2.05,2.8,2.58,0.52,2.07,0.82,2.51,1.38,3.17,1.38,1.34,1.59,1.95,2.75,3.63,2.27,,,,,,,,,
April,,,,,,,,,,2.25,3.32,2.95,0.31,2.98,1.89,2.08,2.23,1.82,0.58,3.85,1.67,1.18,1.79,3.31,1.48,3.76,2.19,2.26,0.99,1.43,0.99,1.81,3.05,1.71,3.31,3.11,1.06,1.11,0.29,1.32,2.48,,,,,,,,,,
May,,,,,,,,,,2.1,1.47,2.19,1.38,1.93,1.7,1.29,4.62,1.87,2.04,0.63,4.24,2.31,2.49,2.45,3.61,5.08,3.25,1.62,1.88,1.51,1.42,2.62,2.59,2.64,2.84,0.95,0.73,1.53,2.58,0.73,3.1,,,,,,,,,,
June,,,,,,,,,1.9,2.05,1.79,2.76,4.28,3.15,0.78,0.85,3.24,2.72,0.94,2.23,0.87,0.4,1.56,1.2,1.29,0.34,2.28,3.74,4.72,1.86,2.03,5.17,1.25,1.4,2.1,2.8,1.72,1.8,3.92,1.4,0.69,,,,,,,,,,
July,,,,,,,,,1.97,3.72,3.67,0.89,1.86,0.84,2.54,3.95,5.83,1.41,3.28,0.63,2.95,3.37,3.36,3.38,3.73,1.84,2.73,2.4,2.75,3.73,3.1,4.12,3.22,4.9,3.12,1.07,3.33,4.88,4.38,4.12,5.86,,,,,,,,,,
August,,,,,,,,,2.96,2.41,4.22,1.74,3.74,1.27,2.2,4.74,3.84,5.03,2.16,3.45,5.35,6.58,2.23,5.79,2.97,2.42,2.47,5.76,4.32,4.82,6.04,3.67,0.67,2.09,3.44,1.72,1.65,4.49,1.87,0.94,1.62,,,,,,,,,,
September,,,,,,,,,4.25,2.35,1.08,1.74,2.48,1.84,1.4,1.25,2.12,3.18,5.25,3.12,2.5,1.64,1.78,3.63,3.66,4,3.66,6.58,2.64,0.81,3.26,0.85,3.98,0.98,3.26,4.25,3.8,1.92,2.62,1.34,4.98,,,,,,,,,,
October,,,,,,,,,0.54,6.07,2.38,2.74,2.16,2.28,1.23,1.27,5.67,5.25,4.54,1.71,1.6,3.19,1.42,3.7,3.02,3.3,4.39,3.79,4.49,3.99,5.23,2.89,5.62,2.58,6.58,6.8,3.65,4,6.8,1.67,3.51,,,,,,,,,,
November,,,,,,,,,1.82,1.26,2.75,4.35,2.48,3.06,3.87,1.36,3.89,3.94,3.64,3.91,2.69,1.35,1.87,3.92,1.48,1.15,3.93,3.42,3.73,4.85,4.32,4.57,2.64,1.43,1.49,4.58,3.86,0.64,6.41,7.19,3.83,,,,,,,,,,
December,,,,,,,,,1.33,3.48,2.39,4.48,5.23,2.55,5.3,4.12,3.38,1.88,3.09,5.5,2.92,4.71,2.57,3.07,4.05,3.29,1.12,1.28,2.5,7.2,2.42,3.1,7.38,0.58,4.24,1.77,3.88,2.94,2.43,1.71,4.18,,,,,,,,,,
Total,,,,,,,,,,34.52,30.97,30.36,30.47,27.61,30.83,28.19,44.67,32.02,32.62,30.87,38.13,36.65,27.29,38.72,29.74,35,34.86,39.44,41.67,33.25,35.98,34.34,38.59,27.27,38.43,34.76,31.76,33.09,40.44,30.95,36.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location based on house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 BR P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 BR P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 BR P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 BR P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Gauge move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
