BIGGAR (HUNTFIELD),,,,,,,,,,,,,,,,,,,,
Grid ref,NT013402,Long,-3.569801,Lat,55.645285,Elevation,900,ft,,,,,,,,,,,,
Station no,5166,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.77,2.55,3.02,2.99,3.06,2.9,5.26,3.83,2.15,3.71,3.93,1.06,3.68,2.19,1.94,3.88,2.69,,
February,,0.99,3.42,0.93,3.82,1.94,1.17,3.08,3.24,3.64,2.71,0.83,1.1,1.9,1.32,1.62,1.89,2.23,,
March,,1.5,1.56,0.55,2.35,2.14,2.56,2.37,1.21,3.34,1.89,1.21,0.73,1.77,1.11,1.72,2.66,1.16,,
April,1.27,1.34,2.24,2.79,1.12,1.15,4.91,2.95,2.34,2.89,3.14,1.56,2.24,1.07,0.68,0.8,1.57,1.28,,
May,5.24,1.68,3.81,1.79,4.47,1.17,3.2,1.02,1.5,1.44,2.44,1.39,2.14,4.54,2.37,1.22,2.29,2.43,,
June,0.99,0.83,4.06,3.12,2.84,1.98,2.63,5.34,1.12,2.56,1.54,2.63,1.68,2.49,1.19,2.59,2.04,2.92,,
July,2.51,3.26,2.02,2.04,2.58,3.41,2.8,2.83,1.79,3.82,3.2,2.53,4.58,3.25,1.7,4.34,3.4,6.86,,
August,5.73,3.67,3.14,2.98,1.06,3.51,0.06,6.57,3.61,4.17,5.37,4.18,2.42,4.26,2.14,5.67,4.69,3.96,,
September,1.13,3.87,3.08,3.89,5.2,5.92,2.97,4.88,1.74,7.38,1.93,2.31,2.47,4.18,2.83,3.5,2.86,3.27,,
October,3.47,4.45,5.07,3.53,3.15,0.62,1.44,2.26,4.2,2.73,0.69,3.1,2.07,6.75,2.32,2.63,3.76,2.12,,
November,2.18,0.95,1.92,6.52,0.13,4.09,4.69,2.93,3.41,3.8,4.79,2.68,4.18,5.38,0.96,1.07,1.53,,,
December,1.98,3.12,2.32,4.22,2.09,2.58,2.25,4.7,6.04,1.53,3.54,3.68,4.55,3.9,4.78,3.99,3.66,,,
Total,,30.43,35.19,35.38,31.8,31.57,31.58,44.19,34.03,39.45,34.95,30.03,29.22,43.17,23.59,31.09,34.23,,,
,,,,,,,,,,,,,,,,,,,,
Gauge move 4/41,,,,,,,,,,,,,,,,,,,,
1950 BR P,,,,,,,,,,,,,,,,,,,,
