"BIGGAR SHIELDHILL",,,,,,,,,,,,
Grid ref,NT006404,Long,-3.580991,Lat,55.646939,,,,,,,
Station no,5166,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.82,,
February,,,,,,,,,,1.75,,
March,,,,,,,,,,3.26,,
April,,,,,,,,,,2.25,,
May,,,,,,,,,,2.10,,
June,,,,,,,,,1.90,2.05,,
July,,,,,,,,,1.97,3.72,,
August,,,,,,,,,2.96,2.41,,
September,,,,,,,,,4.25,2.35,,
October,,,,,,,,,0.54,6.07,,
November,,,,,,,,,1.82,1.26,,
December,,,,,,,,,1.33,3.48,,
Total,,,,,,,,,,34.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.77,34.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
