BIGGAR SHIELDHILL on roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT006404,Long,-3.580991,Lat,55.646939,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.53,,3.01,2.77,1.71,1.12,1.94,1.78,2.09,1.41,2.81,1.91,2.3,2.06,3.71,4.71,2.76,1.69,2.76,,,,,,
February,,,,,,,1.06,,1.18,1.67,3.64,2.78,1.75,1.48,2.64,3.06,3.01,1.04,2.94,0.76,2.82,0.52,2.3,3.59,0.49,,,,,,
March,,,,,,,1.24,,4.32,3.49,1.65,1.68,2.08,3.54,3.34,1.7,1.82,1.45,0.85,2.11,3.22,2.9,1.68,1.06,0.65,,,,,,
April,,,,,,,0.79,,1.39,2.05,3.22,2.67,0.18,2.7,1.33,1.39,1.84,1.89,0.57,3.7,1.64,0.89,1.8,2.9,1.25,,,,,,
May,,,,,,,4.3,,2.78,2.12,1.39,2.06,1.25,2.11,1.59,1.32,4.58,1.94,2.06,0.71,3.67,2.08,2.03,2.09,3.48,,,,,,
June,,,,,,,1.79,,1.88,2.02,1.75,2.71,4.2,2.82,0.78,0.89,3.04,2.63,0.76,2.23,0.86,0.51,1.46,1.06,1.04,,,,,,
July,,,,,,,1.77,1.81,1.88,3.56,3.64,0.87,2.24,0.91,2.44,3.81,5.48,1.37,3.37,0.72,3.28,3.38,3.43,3.25,3.24,,,,,,
August,,,,,,,4.69,3.98,2.69,2.39,4.29,1.74,3.82,1.22,2.08,4.69,3.89,5.32,1.95,3.31,5.41,6.65,2.3,5.45,2.61,,,,,,
September,,,,,,,0.41,0.55,4.07,2.35,1.06,1.4,2.35,1.67,1.36,1.34,2,2.79,4.89,2.73,2.47,1.56,1.6,3.08,3.11,,,,,,
October,,,,,,,5.44,7.46,0.54,5.9,2.26,2.44,2.15,2.21,1.23,1.3,4.95,4.16,3.51,1.92,1.67,3.08,1.37,3.03,2.5,,,,,,
November,,,,,,,2.11,1.63,1.66,1.05,2.76,3.74,2.05,2.51,3,1.67,3.32,2.43,2.86,3.14,1.91,1.24,1.63,2.5,0.92,,,,,,
December,,,,,,,1.14,3.15,1.09,3.4,2.14,4.03,3.78,1.59,4.47,4.06,2.77,1.69,2.71,4.16,2.69,2.81,2.01,2.66,2.67,,,,,,
Total,,,,,,,28.27,,26.49,32.77,29.51,27.24,27.79,24.54,26.35,26.64,39.51,28.62,28.77,27.55,33.35,30.33,24.37,32.36,24.72,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 NP Bad J-Jun useless +T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 BR P on roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 BR P on roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Gauge move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
see 5166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
