ABERDEEN BANCHORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO702954,Long,-2.492,Lat,57.0487,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.15,4.02,4.96,2.91,3.24,0.43,2.46,,3.76,2.93,,,,,,1.3,4.2,3,,1.1,4.2,1.5,4.1,3.2,1.3,3.5,2.8,4.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.09,3.42,1.08,1.6,2.29,1.98,1.5,,5.91,2.02,,,,,,1.6,3.7,1.1,,1.3,2.5,1.3,1.5,0.1,4.1,4.6,2,1.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.62,1.1,2.95,1.6,0.85,2.58,1.71,,4.01,1.4,,,,,,4.2,0,5.25,,2.5,2.3,3.5,2.5,2.1,2,2.6,3.8,2.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.45,0.86,0.1,4.56,0.1,1.45,3.46,,2.44,3.73,,,,,,0.7,6.1,4.2,,4.5,1.5,0.8,0.8,1.1,0.7,0.3,1.6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.16,1.92,0.45,3.67,0.7,1.36,1.96,,1.04,1.9,,,,,,0.4,3,1,,0,1.1,0.7,3.5,0.9,1.3,2.2,1.3,3.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.12,1.51,0.97,1.84,2.5,5.05,2.05,,3.03,1.9,,,,,,2,2.7,2,,1.6,3.4,3.2,2.5,1.8,0.5,0.5,1.5,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.08,2.51,2.05,4.48,2.52,2.43,4.54,,2.21,3.11,,,,,,2.2,2.7,1.5,,2.8,0.7,2.7,1.8,0.3,1.1,2.5,3.1,3.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.1,3.3,1.43,1.87,1.9,4.27,2.37,,3.46,1.63,,,,,,2.1,2.1,0.9,,1.8,2.9,3.6,1.9,4.2,0.3,4.1,3.6,3.2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.12,2.85,3.16,0.34,1.78,3.04,1.43,,1.51,1.89,,,,,,0.3,5.8,3.9,,1,1,4.3,1.3,1.1,2.8,0.3,3.3,2.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,2.9,4.02,3.28,2.8,1.62,5.44,7.29,,4.57,1.78,,,,,,2.2,2.5,1.1,,6.7,2.6,1.6,2.7,2.8,5,4.5,3,2.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
