ST-OUEN-VINCHELEZ-(LECQ),,,,,,,,,,
Grid ref,WV575551,Long,-2.20959,Lat,49.24635,Elevation,270,ft,,
Station no,4432/2,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.77,,,
February,,,,,,3.16,,,,
March,,,,,,2.5,,,,
April,,,,,,1.6,,,,
May,,,,,,1.06,,,,
June,,,,,,2.27,,,,
July,,,,,,3.63,,,,
August,,,,,,0.77,,,,
September,,,,,,2.46,,,,
October,,,,,,1.03,,,,
November,,,,,,4.78,,,,
December,,,,,,1.39,,,,
Total,,,,,,,,,,
,,,,,,,,,,
Lived at Lecq Villa He was a farmer so assumed to be farm Exact location unknown,,,,,,,,,,
NGR .75miles from next location at matching alt on Rue du Lecq,,,,,,,,,,
1936 Feb Station started,,,,,,,,,,
1937 Feb 1st Gauge moved .75miles W,,,,,,,,,,
