"SWALEDALE (GUNNERSIDE LODGE)",,,,,,,,,,,,
Grid ref,SD934982,Long,-2.103116,Lat,54.379254,,,,,,,
Station no,3440,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.63,3.62,0.55,5.56,6.19,4.69,7.10,4.42,3.97,7.35,,
February,4.46,0.49,3.58,3.62,-999.00,3.24,4.06,6.26,0.53,5.79,,
March,3.59,3.45,0.68,3.12,2.19,1.42,2.53,2.27,2.73,2.34,,
April,3.92,2.46,3.72,0.66,0.97,1.17,0.34,1.29,3.54,3.00,,
May,5.10,2.73,2.09,5.21,4.77,1.82,2.37,5.04,0.86,1.67,,
June,1.86,1.65,3.51,2.13,2.40,3.11,1.23,4.12,2.29,1.58,,
July,1.31,1.30,4.33,3.11,1.31,4.26,6.21,4.62,2.50,5.82,,
August,3.31,4.01,4.23,6.96,0.67,8.02,7.56,3.49,0.69,2.60,,
September,2.88,5.35,3.95,6.34,1.73,4.16,4.53,4.51,0.47,2.93,,
October,0.42,3.32,1.77,10.54,2.25,3.00,5.54,3.80,3.85,5.40,,
November,9.78,2.41,4.35,8.60,2.50,1.14,2.20,0.93,7.97,7.15,,
December,9.74,4.46,2.03,4.92,6.70,6.61,4.37,4.70,11.24,6.39,,
Total,53.00,35.25,34.79,60.77,34.22,42.64,48.04,45.45,40.64,52.02,,
Calc annual,53.00,35.25,34.79,60.77,31.68,42.64,48.04,45.45,40.64,52.02,,
Difference,-0.00,0.00,0.00,0.00,2.54,0.00,0.00,0.00,0.00,0.00,,
