SPALDING - WESTON ST MARY - WOODCROFT HOUSE,,,,,,,,,
Grid ref,TF286246,Long,-0.094,Lat,52.804,Elevation,10,ft,
Station no,2530/5 and 2525/4,,,,,,,,
,,,,,,,,,
,1936,1937,1938,1939,1940,1941,1942,1943,1944
January,3.08,3.51,2.50,3.04,1.35,2.47,2.33,3.74,1.88
February,2.02,2.64,1.03,0.62,2.12,2.44,0.71,0.39,1.63
March,1.01,3.03,0.26,1.51,1.72,3.37,1.24,0.46,0.40
April,2.07,2.61,0.14,1.71,0.97,0.68,0.51,0.90,2.13
May,1.56,4.26,2.20,0.85,1.47,2.59,2.70,2.30,
June,3.13,1.32,1.22,1.94,0.77,0.51,0.92,1.94,
July,5.41,4.18,2.32,3.30,3.50,4.96,2.54,1.01,
August,0.96,0.58,1.35,2.20,0.43,3.81,2.68,1.96,2.68
September,1.47,2.02,2.11,1.13,0.57,0.87,1.23,1.65,2.95
October,1.66,2.02,1.71,3.68,2.59,2.93,2.27,0.97,
November,1.81,1.59,1.47,3.21,4.51,3.32,2.56,1.75,
December,1.64,2.78,3.27,1.75,1.54,0.53,1.46,0.89,0.91
Total,25.82,30.54,19.58,24.94,21.54,28.48,21.15,17.96,
,,,,,,,,,
TYRain_1931-1940_15_pt1/086,,,,,,,,,
TYRain_1931-1940_15_pt1/073,,,,,,,,,
TYRain_1941-1950_17_pt1/159,,,,,,,,,
,,,,,,,,,
"# The station number was initially 2530/5, and changed to 2525/4 in 1939.",,,,,,,,,
#,,,,,,,,,
# The gauge moved about 4 miles south to Elm House (Elm Tree Farm) in 1945.,,,,,,,,,
# The 1940s rainfall sheet is shared with the Elm House site.,,,,,,,,,
