"LOCH FYNE, FURNACE QUARRIES",,,,,,,,,,,,
Grid ref,NN027000,Long,-5.178056,Lat,56.151746,,,,,,,
Station no,RR6115,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,7.37,8.40,8.56,7.31,8.85,9.32,,
February,,,,,5.78,7.00,5.20,7.60,8.39,3.57,,
March,,,,,4.52,7.57,4.36,8.20,7.14,1.06,,
April,,,,,9.20,4.54,3.25,4.34,2.05,5.05,,
May,,,,,4.55,3.59,4.47,4.49,3.34,4.80,,
June,,,,,3.41,1.96,1.72,5.80,4.18,1.89,,
July,,,,,4.33,4.58,4.72,2.88,5.59,7.08,,
August,,,,,5.67,5.59,5.90,8.91,6.45,5.93,,
September,,,,,5.99,5.01,5.32,3.03,11.90,3.28,,
October,,,,,6.97,4.44,7.37,4.50,1.48,10.23,,
November,,,,,6.72,6.49,6.72,7.30,6.37,6.27,,
December,,,,,6.75,8.34,10.35,8.04,8.01,8.20,,
Total,,,,,71.26,67.51,67.94,72.40,73.75,66.68,,
Calc annual,0.00,0.00,0.00,0.00,71.26,67.51,67.94,72.40,73.75,66.68,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
