"LOCH FYNE, FURNACE QUARRIES",,,,,,,,,,,,,,,,,,,,
Grid ref,NN027000,Long,-5.178056,Lat,56.151746,Elevation,15,ft,,,,,,,,,,,,
Station no,RR6115,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,7.37,8.4,8.56,7.31,8.85,9.32,9.28,7.84,7.87,5.49,6.58,10.04,12.84,,,
February,,,,,5.78,7,5.2,7.6,8.39,3.57,10.3,13.05,5.6,5.24,8.79,8.15,6.99,,,
March,,,,,4.52,7.57,4.36,8.2,7.14,1.06,4.08,2.96,8,5.18,7.76,5.57,1.64,,,
April,,,,,9.2,4.54,3.25,4.34,2.05,5.05,6.91,6.39,7.64,3.48,6.91,8.09,6.73,,,
May,,,,,4.55,3.59,4.47,4.49,3.34,4.8,4.62,4.49,3.3,6.49,3.26,0.89,5.25,,,
June,,,,,3.41,1.96,1.72,5.8,4.18,1.89,2.35,3.09,4.65,5.45,1.82,1.98,2.31,,,
July,,,,,4.33,4.58,4.72,2.88,5.59,7.08,4.97,6.33,3.22,1.31,1.76,5.16,4.08,,,
August,,,,,5.67,5.59,5.9,8.91,6.45,5.93,8.01,5.99,5.58,3.52,6.74,3.09,4.28,,,
September,,,,,5.99,5.01,5.32,3.03,11.9,3.28,3.08,4.08,5.12,3.52,4.54,2.52,3.06,,,
October,,,,,6.97,4.44,7.37,4.5,1.48,10.23,3.05,4.9,9.16,4.8,4.13,3.61,9.61,,,
November,,,,,6.72,6.49,6.72,7.3,6.37,6.27,4.97,8.26,10.68,12.79,10.03,2.53,7.26,,,
December,,,,,6.75,8.34,10.35,8.04,8.01,8.2,9.51,15.58,14.42,9.56,10.66,7.02,8.71,,,
Total,,,,,71.26,67.51,67.94,72.4,73.75,66.68,71.13,82.96,85.24,66.83,72.98,58.65,72.76,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6115,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
