LOCH CUAICH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN704886,Long,-4.133478,Lat,56.970392,Elevation,1340,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5692/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.22,3.8,0.5,1.12,3,5.59,4.46,3.7,5.9,5.5,5.95,5.4,4.9,1.85,3.5,5.85,3.35,2.59,4.3,7.05,7.32,3,5.5
February,,,,,,,,2.16,3.56,1.5,3.5,1,3.68,2.12,5.7,4.25,0.7,5.6,4.15,5.15,1.98,2.64,1.5,2.4,2.6,3.7,6.1,3.73,1.27,7.48
March,,,,,,,,2.8,3.44,3.42,1.1,1.3,2.57,2.03,3.1,1.15,2.83,4.5,2.3,2.3,1.76,2.63,1.2,2.83,0.8,4.2,3.75,3.44,3.84,1.26
April,,,,,,,,0.46,1.56,2.12,1.59,2.12,3.29,2.59,1.46,1.43,7.65,3.36,3,3.83,4,2.36,2.9,1.65,0.7,1.83,1.06,1.6,3.99,4.68
May,,,,,,,,3.66,0.84,1.4,2.93,3.25,3.11,2.86,4.07,1.45,5,3.2,,1.9,1.48,2.2,3.5,3.25,3.05,2.38,1.35,3.34,1.95,0.75
June,,,,,,,,4.69,1.56,0.89,0.5,1.4,4.28,3.86,3,2.9,3.95,5,,1.85,1.8,2.25,2.5,1.7,0.95,3.63,1.85,2.13,2.21,2.23
July,,,,,,,,3.88,5.31,4.8,2.95,4.02,1.61,2.36,1.9,5.64,3.44,1.85,1.85,4.35,2.8,1.59,4.15,2.38,0.5,4.28,4.35,5.2,3.48,2.53
August,,,,,,,,1.71,1.41,2.95,5,3.2,4.22,2.78,1.59,2.3,0,6.19,3.99,3.95,5.8,2.97,3.1,2.3,0.95,5.25,5.22,3.55,2.29,6.87
September,,,,,,,,3.99,2.13,2.12,1.45,4.1,2.77,3.9,4.47,4.4,4.3,3.4,1.1,7.17,2.15,2.73,2.6,4.6,2.55,5.9,2.34,4.22,0.71,3.41
October,,,,,,,,6.62,3.66,4.15,4.2,4.33,6.4,3.75,3.67,0.25,1.3,4.42,3.6,3.25,0.75,5.2,3.35,6.3,3.65,4,2.86,3.34,5.34,2.45
November,,,,,,,,7.81,5.9,6.25,6.35,1.59,3.09,5.7,0.63,6.66,7.75,2.49,3.5,3.15,6.68,2.5,4.25,10,2.15,4.35,2.13,0.82,5.71,4.52
December,,,,,,,,7.77,2.52,3.22,4.35,5.9,2,6.5,7.45,5.1,1.7,7.95,,2.6,4.45,3.76,5.35,6.1,7.7,8.6,4.85,4.09,6.85,4.89
Total,,,,,,,,50.77,35.69,33.32,35.04,35.21,42.61,42.91,40.74,41.43,44.12,53.91,,44.4,35.5,34.33,40.25,46.86,28.19,52.42,42.91,42.78,40.64,46.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Ju Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Ma Ju De+ T Esd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Ja Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 No Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5692/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,814368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
